"year","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,"All","All","math","full_year",31629,30803,16974,4317,9512,11749,5225
2014,"All","All","read","full_year",31629,30732,15500,4062,11170,12638,2862
2014,"All","grade 4","math","full_year",4680,4649,2758,734,1157,1779,979
2014,"All","grade 4","read","full_year",4680,4647,2339,650,1658,1963,376
2014,"All","grade 3","math","full_year",5278,5242,2478,799,1965,1743,735
2014,"All","grade 3","read","full_year",5278,5227,2301,1097,1829,2002,299
2014,"All","grade 7","math","full_year",4414,4240,2498,523,1219,1783,715
2014,"All","grade 7","read","full_year",4414,4230,2377,289,1564,1673,704
2014,"All","grade 6","math","full_year",4281,4178,2163,663,1352,1348,815
2014,"All","grade 6","read","full_year",4281,4175,1892,646,1637,1674,218
2014,"All","grade 5","math","full_year",4519,4495,2396,643,1456,1599,797
2014,"All","grade 5","read","full_year",4519,4451,2440,405,1606,2156,284
2014,"All","grade 8","math","full_year",4243,4037,2653,342,1042,1834,819
2014,"All","grade 8","read","full_year",4243,4035,2189,375,1471,1740,449
2014,"All","grade 10","math","full_year",4214,3962,2028,613,1321,1663,365
2014,"All","grade 10","read","full_year",4214,3967,1962,600,1405,1430,532
2014,"MALE","All","math","full_year",15820,15385,8054,2450,4881,5561,2493
2014,"MALE","All","read","full_year",15820,15354,6841,2614,5899,5696,1145
2014,"MALE","grade 4","math","full_year",2337,2321,1358,398,565,848,510
2014,"MALE","grade 4","read","full_year",2337,2319,1064,423,832,908,156
2014,"MALE","grade 7","math","full_year",2184,2084,1146,304,634,820,326
2014,"MALE","grade 7","read","full_year",2184,2080,1028,205,847,741,287
2014,"MALE","grade 6","math","full_year",2154,2097,1025,378,694,634,391
2014,"MALE","grade 6","read","full_year",2154,2098,836,441,821,742,94
2014,"MALE","grade 10","math","full_year",2020,1895,867,355,673,698,169
2014,"MALE","grade 10","read","full_year",2020,1902,796,368,738,597,199
2014,"MALE","grade 5","math","full_year",2304,2290,1157,358,775,787,370
2014,"MALE","grade 5","read","full_year",2304,2267,1113,270,884,999,114
2014,"MALE","grade 8","math","full_year",2158,2051,1285,203,563,920,365
2014,"MALE","grade 8","read","full_year",2158,2050,969,252,829,796,173
2014,"MALE","grade 3","math","full_year",2663,2647,1216,454,977,854,362
2014,"MALE","grade 3","read","full_year",2663,2638,1035,655,948,913,122
2014,"FEMALE","All","math","full_year",15809,15418,8920,1867,4631,6188,2732
2014,"FEMALE","All","read","full_year",15809,15378,8659,1448,5271,6942,1717
2014,"FEMALE","grade 4","math","full_year",2343,2328,1400,336,592,931,469
2014,"FEMALE","grade 4","read","full_year",2343,2328,1275,227,826,1055,220
2014,"FEMALE","grade 3","math","full_year",2615,2595,1262,345,988,889,373
2014,"FEMALE","grade 3","read","full_year",2615,2589,1266,442,881,1089,177
2014,"FEMALE","grade 7","math","full_year",2230,2156,1352,219,585,963,389
2014,"FEMALE","grade 7","read","full_year",2230,2150,1349,84,717,932,417
2014,"FEMALE","grade 5","math","full_year",2215,2205,1239,285,681,812,427
2014,"FEMALE","grade 5","read","full_year",2215,2184,1327,135,722,1157,170
2014,"FEMALE","grade 8","math","full_year",2085,1986,1368,139,479,914,454
2014,"FEMALE","grade 8","read","full_year",2085,1985,1220,123,642,944,276
2014,"FEMALE","grade 6","math","full_year",2127,2081,1138,285,658,714,424
2014,"FEMALE","grade 6","read","full_year",2127,2077,1056,205,816,932,124
2014,"FEMALE","grade 10","math","full_year",2194,2067,1161,258,648,965,196
2014,"FEMALE","grade 10","read","full_year",2194,2065,1166,232,667,833,333
2014,"AS7","All","math","full_year",476,452,394,10,48,167,227
2014,"AS7","All","read","full_year",476,450,353,16,81,253,100
2014,"AS7","grade 8","math","full_year",63,57,54,1,2,17,37
2014,"AS7","grade 8","read","full_year",63,57,45,2,10,23,22
2014,"AS7","grade 6","math","full_year",67,64,53,3,8,18,35
2014,"AS7","grade 6","read","full_year",67,64,45,6,13,39,6
2014,"AS7","grade 4","math","full_year",70,67,62,0,5,18,44
2014,"AS7","grade 4","read","full_year",70,67,56,0,11,45,11
2014,"AS7","grade 3","math","full_year",69,64,53,2,9,28,25
2014,"AS7","grade 3","read","full_year",69,63,49,2,12,41,8
2014,"AS7","grade 7","math","full_year",69,65,58,1,6,28,30
2014,"AS7","grade 7","read","full_year",69,64,54,1,9,28,26
2014,"AS7","grade 5","math","full_year",76,75,65,1,9,36,29
2014,"AS7","grade 5","read","full_year",76,75,60,1,14,49,11
2014,"AS7","grade 10","math","full_year",62,60,49,2,9,22,27
2014,"AS7","grade 10","read","full_year",62,60,44,4,12,28,16
2014,"BL7","All","math","full_year",23501,22888,11168,3798,7922,8574,2594
2014,"BL7","All","read","full_year",23501,22832,10125,3443,9264,8843,1282
2014,"BL7","grade 4","math","full_year",3341,3326,1741,637,948,1288,453
2014,"BL7","grade 4","read","full_year",3341,3326,1418,537,1371,1288,130
2014,"BL7","grade 3","math","full_year",3708,3695,1418,693,1584,1118,300
2014,"BL7","grade 3","read","full_year",3708,3681,1324,918,1439,1234,90
2014,"BL7","grade 7","math","full_year",3395,3256,1746,464,1046,1371,375
2014,"BL7","grade 7","read","full_year",3395,3250,1642,250,1358,1296,346
2014,"BL7","grade 6","math","full_year",3182,3112,1366,599,1147,984,382
2014,"BL7","grade 6","read","full_year",3182,3112,1192,567,1353,1105,87
2014,"BL7","grade 5","math","full_year",3266,3259,1490,567,1202,1073,417
2014,"BL7","grade 5","read","full_year",3266,3221,1547,342,1332,1439,108
2014,"BL7","grade 8","math","full_year",3239,3077,1906,297,874,1435,471
2014,"BL7","grade 8","read","full_year",3239,3077,1543,316,1218,1332,211
2014,"BL7","grade 10","math","full_year",3370,3163,1501,541,1121,1305,196
2014,"BL7","grade 10","read","full_year",3370,3165,1459,513,1193,1149,310
2014,"HI7","All","math","full_year",4462,4319,2524,465,1330,1890,634
2014,"HI7","All","read","full_year",4462,4310,2158,566,1586,1841,317
2014,"HI7","grade 7","math","full_year",598,568,361,57,150,275,86
2014,"HI7","grade 7","read","full_year",598,565,343,38,184,253,90
2014,"HI7","grade 8","math","full_year",612,577,388,41,148,294,94
2014,"HI7","grade 8","read","full_year",612,576,306,54,216,256,50
2014,"HI7","grade 10","math","full_year",511,492,254,62,176,220,34
2014,"HI7","grade 10","read","full_year",511,495,242,74,179,189,53
2014,"HI7","grade 4","math","full_year",687,678,407,90,181,291,116
2014,"HI7","grade 4","read","full_year",687,678,332,109,237,299,33
2014,"HI7","grade 3","math","full_year",799,791,396,89,306,298,98
2014,"HI7","grade 3","read","full_year",799,791,321,162,308,293,28
2014,"HI7","grade 6","math","full_year",600,570,348,54,168,238,110
2014,"HI7","grade 6","read","full_year",600,568,275,69,224,244,31
2014,"HI7","grade 5","math","full_year",655,643,370,72,201,274,96
2014,"HI7","grade 5","read","full_year",655,637,339,60,238,307,32
2014,"MU7","All","math","full_year",495,488,420,17,51,186,234
2014,"MU7","All","read","full_year",495,488,406,16,66,263,143
2014,"MU7","grade 6","math","full_year",62,62,49,4,9,15,34
