"lea_code","lea_name","year","subgroup","grade","enrollment"
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","All",46393
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 11",2235
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 3",3450
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade AO",1428
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 9",3654
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 2",3682
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade PK4",3368
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 5",2843
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 12",1869
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 6",2237
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade PK3",2197
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 10",2444
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 4",3050
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 8",2396
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 1",4109
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade KG",4179
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","ungraded",897
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"All","grade 7",2355
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","All",23418
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 11",1106
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 9",1940
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 2",1890
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 3",1750
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 5",1481
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 12",850
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade PK4",1751
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 6",1123
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 4",1538
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 8",1244
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 1",2086
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade KG",2137
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade AO",548
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 10",1185
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade PK3",1116
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","grade 7",1190
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MALE","ungraded",483
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","All",22975
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 3",1700
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade AO",880
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade PK4",1617
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 6",1114
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade PK3",1081
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 10",1259
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 9",1714
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 2",1792
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 1",2023
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 11",1129
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 5",1362
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade KG",2042
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 4",1512
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 12",1019
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","ungraded",414
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 7",1165
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"FEMALE","grade 8",1152
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AM7","All",41
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","All",891
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 4",67
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 9",62
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 1",77
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade KG",84
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 6",54
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 3",69
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 10",61
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade PK4",64
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 2",79
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 5",54
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 7",50
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 8",48
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 11",48
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade 12",41
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"AS7","grade PK3",26
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","All",31625
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 11",1687
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 3",2192
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade AO",1249
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 9",2733
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 2",2239
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade PK4",2038
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 5",1964
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 12",1372
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade PK3",1470
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 6",1595
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 4",1999
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 8",1720
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 1",2529
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","ungraded",854
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 10",1794
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade 7",1684
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"BL7","grade KG",2506
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","All",7477
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 9",583
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 3",584
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 10",356
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade PK4",628
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 1",732
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 4",479
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade PK3",367
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 5",481
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade KG",793
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 7",362
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade AO",166
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 11",285
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 12",272
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 8",364
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 6",306
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","grade 2",691
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"HI7","ungraded",28
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","All",839
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade KG",94
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 4",66
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 11",33
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 7",35
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade PK4",79
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 2",65
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade PK3",57
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 3",69
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 1",87
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 5",49
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 8",50
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 10",43
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 9",47
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 6",33
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"MU7","grade 12",30
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"PI7","All",71
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"PI7","grade 1",15
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"WH7","All",5428
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"WH7","grade 6",240
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"WH7","grade 8",208
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"WH7","grade 1",668
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"WH7","grade PK3",267
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"WH7","grade KG",689
1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS",2013,"WH7","grade 12",150
