Key,LEA Code,School_Code,school name,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,,,,,,,
202-2013-14-All Students-Total Suspensions-External,1,202,Aiton ES,2013-14,All Students,Total Suspensions,82,2583,External,247,,,,,,,
202-2013-14-All Students-Expulsion Rate-External,1,202,Aiton ES,2013-14,All Students,Expulsion Rate,0,0.02,External,247,,,,,,,
202-2013-14-All Students-Expulsions-External,1,202,Aiton ES,2013-14,All Students,Expulsions,0,10,External,247,,,,,,,
203-2013-14-All Students-Expulsion Rate-External,1,203,Amidon Bowen  ES,2013-14,All Students,Expulsion Rate,0,0.02,External,342,,,,,,,
203-2013-14-All Students-Expulsions-External,1,203,Amidon Bowen  ES,2013-14,All Students,Expulsions,0,10,External,342,,,,,,,
203-2013-14-All Students-Total Suspensions-External,1,203,Amidon Bowen  ES,2013-14,All Students,Total Suspensions,154,2583,External,342,,,,,,,
204-2013-14-All Students-Total Suspensions-External,1,204,Bancroft ES,2013-14,All Students,Total Suspensions,20,2583,External,490,,,,,,,
204-2013-14-All Students-Expulsions-External,1,204,Bancroft ES,2013-14,All Students,Expulsions,0,10,External,490,,,,,,,
204-2013-14-All Students-Expulsion Rate-External,1,204,Bancroft ES,2013-14,All Students,Expulsion Rate,0,0.02,External,490,,,,,,,
205-2013-14-All Students-Expulsion Rate-External,1,205,Barnard ES,2013-14,All Students,Expulsion Rate,0,0.02,External,583,,,,,,,
205-2013-14-All Students-Expulsions-External,1,205,Barnard ES,2013-14,All Students,Expulsions,0,10,External,583,,,,,,,
205-2013-14-All Students-Total Suspensions-External,1,205,Barnard ES,2013-14,All Students,Total Suspensions,5,2583,External,583,,,,,,,
206-2013-14-All Students-Expulsion Rate-External,1,206,Beers ES,2013-14,All Students,Expulsion Rate,0,0.02,External,422,,,,,,,
206-2013-14-All Students-Expulsions-External,1,206,Beers ES,2013-14,All Students,Expulsions,0,10,External,422,,,,,,,
206-2013-14-All Students-Total Suspensions-External,1,206,Beers ES,2013-14,All Students,Total Suspensions,2,2583,External,422,,,,,,,
212-2013-14-All Students-Expulsion Rate-External,1,212,Brent ES,2013-14,All Students,Expulsion Rate,0,0.02,External,359,,,,,,,
212-2013-14-All Students-Total Suspensions-External,1,212,Brent ES,2013-14,All Students,Total Suspensions,1,2583,External,359,,,,,,,
212-2013-14-All Students-Expulsions-External,1,212,Brent ES,2013-14,All Students,Expulsions,0,10,External,359,,,,,,,
213-2013-14-All Students-Expulsion Rate-External,1,213,Brightwood EC,2013-14,All Students,Expulsion Rate,0,0.09,External,615,,,,,,,
213-2013-14-All Students-Total Suspensions-External,1,213,Brightwood EC,2013-14,All Students,Total Suspensions,22,5964,External,615,,,,,,,
213-2013-14-All Students-Expulsions-External,1,213,Brightwood EC,2013-14,All Students,Expulsions,0,52,External,615,,,,,,,
220-2013-14-All Students-Total Suspensions-External,1,220,Burroughs EC,2013-14,All Students,Total Suspensions,50,5964,External,278,,,,,,,
220-2013-14-All Students-Expulsion Rate-External,1,220,Burroughs EC,2013-14,All Students,Expulsion Rate,0,0.09,External,278,,,,,,,
220-2013-14-All Students-Expulsions-External,1,220,Burroughs EC,2013-14,All Students,Expulsions,0,52,External,278,,,,,,,
221-2013-14-All Students-Expulsions-External,1,221,Burrville ES,2013-14,All Students,Expulsions,0,10,External,354,,,,,,,
221-2013-14-All Students-Expulsion Rate-External,1,221,Burrville ES,2013-14,All Students,Expulsion Rate,0,0.02,External,354,,,,,,,
221-2013-14-All Students-Total Suspensions-External,1,221,Burrville ES,2013-14,All Students,Total Suspensions,78,2583,External,354,,,,,,,
224-2013-14-All Students-Expulsion Rate-External,1,224,Cleveland ES,2013-14,All Students,Expulsion Rate,0,0.02,External,303,,,,,,,
224-2013-14-All Students-Expulsions-External,1,224,Cleveland ES,2013-14,All Students,Expulsions,0,10,External,303,,,,,,,
