Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize
101-2013-14-All Students-Suspended 11+-External,101,2013-14,All Students,Suspended 11+,7,1,External,296
101-2013-14-All Students-Suspended 1+-External,101,2013-14,All Students,Suspended 1+,28,18,External,296
101-2013-14-Black non-Hispanic-Suspended 11+-External,101,2013-14,Black non-Hispanic,Suspended 11+,7,1,External,296
101-2013-14-Black non-Hispanic-Suspended 1+-External,101,2013-14,Black non-Hispanic,Suspended 1+,28,21,External,296
101-2013-14-Female-Suspended 11+-External,101,2013-14,Female,Suspended 11+,5,1,External,149
101-2013-14-Female-Suspended 1+-External,101,2013-14,Female,Suspended 1+,23,15,External,149
101-2013-14-Free or Reduced Lunch-Suspended 11+-External,101,2013-14,Free or Reduced Lunch,Suspended 11+,6,1,External,296
101-2013-14-Free or Reduced Lunch-Suspended 1+-External,101,2013-14,Free or Reduced Lunch,Suspended 1+,28,21,External,296
101-2013-14-Male-Suspended 11+-External,101,2013-14,Male,Suspended 11+,9,1,External,147
101-2013-14-Male-Suspended 1+-External,101,2013-14,Male,Suspended 1+,33,22,External,147
101-2013-14-Special Education-Suspended 1+-External,101,2013-14,Special Education,Suspended 1+,34,30,External,95
101-2013-14-Special Education-Suspended 11+-External,101,2013-14,Special Education,Suspended 11+,11,1,External,95
102-2013-14-All Students-Suspended 11+-External,102,2013-14,All Students,Suspended 11+,0,1,External,305
102-2013-14-All Students-Suspended 1+-External,102,2013-14,All Students,Suspended 1+,34,25,External,305
102-2013-14-Black non-Hispanic-Suspended 1+-External,102,2013-14,Black non-Hispanic,Suspended 1+,35,30,External,291
102-2013-14-Black non-Hispanic-Suspended 11+-External,102,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,291
102-2013-14-Female-Suspended 11+-External,102,2013-14,Female,Suspended 11+,0,1,External,161
102-2013-14-Female-Suspended 1+-External,102,2013-14,Female,Suspended 1+,33,20,External,161
102-2013-14-Free or Reduced Lunch-Suspended 1+-External,102,2013-14,Free or Reduced Lunch,Suspended 1+,34,29,External,305
102-2013-14-Free or Reduced Lunch-Suspended 11+-External,102,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,305
102-2013-14-Hispanic / Latino-Suspended 1+-External,102,2013-14,Hispanic / Latino,Suspended 1+,31,26,External,13
102-2013-14-Hispanic / Latino-Suspended 11+-External,102,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,13
102-2013-14-Male-Suspended 11+-External,102,2013-14,Male,Suspended 11+,0,1,External,144
102-2013-14-Male-Suspended 1+-External,102,2013-14,Male,Suspended 1+,36,30,External,144
102-2013-14-Special Education-Suspended 1+-External,102,2013-14,Special Education,Suspended 1+,33,34,External,45
102-2013-14-Special Education-Suspended 11+-External,102,2013-14,Special Education,Suspended 11+,0,1,External,45
104-2013-14-All Students-Suspended 1+-External,104,2013-14,All Students,Suspended 1+,2,11,External,120
104-2013-14-All Students-Suspended 11+-External,104,2013-14,All Students,Suspended 11+,0,0,External,120
104-2013-14-Black non-Hispanic-Suspended 1+-External,104,2013-14,Black non-Hispanic,Suspended 1+,4,14,External,54
104-2013-14-Black non-Hispanic-Suspended 11+-External,104,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,54
104-2013-14-Female-Suspended 11+-External,104,2013-14,Female,Suspended 11+,0,0,External,71
104-2013-14-Female-Suspended 1+-External,104,2013-14,Female,Suspended 1+,0,9,External,71
104-2013-14-Hispanic / Latino-Suspended 11+-External,104,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,57
104-2013-14-Hispanic / Latino-Suspended 1+-External,104,2013-14,Hispanic / Latino,Suspended 1+,0,3,External,57
104-2013-14-Limited English Proficiency-Suspended 11+-External,104,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,15
104-2013-14-Limited English Proficiency-Suspended 1+-External,104,2013-14,Limited English Proficiency,Suspended 1+,0,8,External,15
104-2013-14-Male-Suspended 1+-External,104,2013-14,Male,Suspended 1+,4,13,External,48
104-2013-14-Male-Suspended 11+-External,104,2013-14,Male,Suspended 11+,0,0,External,48
105-2013-14-All Students-Suspended 11+-External,105,2013-14,All Students,Suspended 11+,0,0,External,596
105-2013-14-All Students-Suspended 1+-External,105,2013-14,All Students,Suspended 1+,1,6,External,596
105-2013-14-Black non-Hispanic-Suspended 1+-External,105,2013-14,Black non-Hispanic,Suspended 1+,1,7,External,366
105-2013-14-Black non-Hispanic-Suspended 11+-External,105,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,366
105-2013-14-Female-Suspended 11+-External,105,2013-14,Female,Suspended 11+,0,0,External,299
105-2013-14-Female-Suspended 1+-External,105,2013-14,Female,Suspended 1+,0,3,External,299
105-2013-14-Free or Reduced Lunch-Suspended 11+-External,105,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,595
