,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
101-2013-14-All Students-Entry-External-April,101-2013-14-All Students-Entry-External,April,101,2013-14,All Students,Entry,0.047297299,0.086674489,External,296,14
101-2013-14-All Students-Withdrawal-External-April,101-2013-14-All Students-Withdrawal-External,April,101,2013-14,All Students,Withdrawal,0.222972974,0.082102925,External,296,66
101-2013-14-All Students-Net Cumulative-External-April,101-2013-14-All Students-Net Cumulative-External,April,101,2013-14,All Students,Net Cumulative,-0.175675675,0.00457157,External,296,-52
101-2013-14-All Students-Entry-External-December,101-2013-14-All Students-Entry-External,December,101,2013-14,All Students,Entry,0.043918919,0.040897015,External,296,13
101-2013-14-All Students-Withdrawal-External-December,101-2013-14-All Students-Withdrawal-External,December,101,2013-14,All Students,Withdrawal,0.074324325,0.02705875,External,296,22
101-2013-14-All Students-Net Cumulative-External-December,101-2013-14-All Students-Net Cumulative-External,December,101,2013-14,All Students,Net Cumulative,-0.030405406,0.013838265,External,296,-9
101-2013-14-All Students-Entry-External-February,101-2013-14-All Students-Entry-External,February,101,2013-14,All Students,Entry,0.043918919,0.067893989,External,296,13
101-2013-14-All Students-Withdrawal-External-February,101-2013-14-All Students-Withdrawal-External,February,101,2013-14,All Students,Withdrawal,0.168918923,0.05751529,External,296,50
101-2013-14-All Students-Net Cumulative-External-February,101-2013-14-All Students-Net Cumulative-External,February,101,2013-14,All Students,Net Cumulative,-0.125,0.010378699,External,296,-37
101-2013-14-All Students-Entry-External-January,101-2013-14-All Students-Entry-External,January,101,2013-14,All Students,Entry,0.043918919,0.055847283,External,296,13
101-2013-14-All Students-Withdrawal-External-January,101-2013-14-All Students-Withdrawal-External,January,101,2013-14,All Students,Withdrawal,0.114864863,0.044294804,External,296,34
101-2013-14-All Students-Net Cumulative-External-January,101-2013-14-All Students-Net Cumulative-External,January,101,2013-14,All Students,Net Cumulative,-0.070945948,0.01155248,External,296,-21
101-2013-14-All Students-Entry-External-March,101-2013-14-All Students-Entry-External,March,101,2013-14,All Students,Entry,0.047297299,0.077098906,External,296,14
101-2013-14-All Students-Withdrawal-External-March,101-2013-14-All Students-Withdrawal-External,March,101,2013-14,All Students,Withdrawal,0.206081077,0.070673995,External,296,61
101-2013-14-All Students-Net Cumulative-External-March,101-2013-14-All Students-Net Cumulative-External,March,101,2013-14,All Students,Net Cumulative,-0.158783779,0.006424909,External,296,-47
101-2013-14-All Students-Entry-External-May,101-2013-14-All Students-Entry-External,May,101,2013-14,All Students,Entry,0.047297299,0.093222953,External,296,14
101-2013-14-All Students-Withdrawal-External-May,101-2013-14-All Students-Withdrawal-External,May,101,2013-14,All Students,Withdrawal,0.266891897,0.093284734,External,296,79
101-2013-14-All Students-Net Cumulative-External-May,101-2013-14-All Students-Net Cumulative-External,May,101,2013-14,All Students,Net Cumulative,-0.219594598,-6.1778E-05,External,296,-65
101-2013-14-All Students-Entry-External-November,101-2013-14-All Students-Entry-External,November,101,2013-14,All Students,Entry,0.043918919,0.033483658,External,296,13
101-2013-14-All Students-Withdrawal-External-November,101-2013-14-All Students-Withdrawal-External,November,101,2013-14,All Students,Withdrawal,0.064189188,0.018348057,External,296,19
101-2013-14-All Students-Net Cumulative-External-November,101-2013-14-All Students-Net Cumulative-External,November,101,2013-14,All Students,Net Cumulative,-0.020270269,0.015135603,External,296,-6
101-2013-14-All Students-Entry-External-October,101-2013-14-All Students-Entry-External,October,101,2013-14,All Students,Entry,0.040540539,0.02341385,External,296,12
101-2013-14-All Students-Withdrawal-External-October,101-2013-14-All Students-Withdrawal-External,October,101,2013-14,All Students,Withdrawal,0.037162162,0.007722246,External,296,11
101-2013-14-All Students-Net Cumulative-External-October,101-2013-14-All Students-Net Cumulative-External,October,101,2013-14,All Students,Net Cumulative,0.003378378,0.015691604,External,296,1
102-2013-14-All Students-Entry-External-April,102-2013-14-All Students-Entry-External,April,102,2013-14,All Students,Entry,0.006557377,0.059143391,External,305,2
102-2013-14-All Students-Withdrawal-External-April,102-2013-14-All Students-Withdrawal-External,April,102,2013-14,All Students,Withdrawal,0.10819672,0.062942274,External,305,33
102-2013-14-All Students-Net Cumulative-External-April,102-2013-14-All Students-Net Cumulative-External,April,102,2013-14,All Students,Net Cumulative,-0.101639345,-0.003798883,External,305,-31
102-2013-14-All Students-Entry-External-December,102-2013-14-All Students-Entry-External,December,102,2013-14,All Students,Entry,0,0.026815642,External,305,0
102-2013-14-All Students-Withdrawal-External-December,102-2013-14-All Students-Withdrawal-External,December,102,2013-14,All Students,Withdrawal,0.052459016,0.022718808,External,305,16
102-2013-14-All Students-Net Cumulative-External-December,102-2013-14-All Students-Net Cumulative-External,December,102,2013-14,All Students,Net Cumulative,-0.052459016,0.004096834,External,305,-16
102-2013-14-All Students-Entry-External-February,102-2013-14-All Students-Entry-External,February,102,2013-14,All Students,Entry,0.006557377,0.043351956,External,305,2
102-2013-14-All Students-Withdrawal-External-February,102-2013-14-All Students-Withdrawal-External,February,102,2013-14,All Students,Withdrawal,0.072131149,0.03925512,External,305,22
102-2013-14-All Students-Net Cumulative-External-February,102-2013-14-All Students-Net Cumulative-External,February,102,2013-14,All Students,Net Cumulative,-0.065573767,0.004096834,External,305,-20
102-2013-14-All Students-Entry-External-January,102-2013-14-All Students-Entry-External,January,102,2013-14,All Students,Entry,0.006557377,0.035307262,External,305,2
102-2013-14-All Students-Withdrawal-External-January,102-2013-14-All Students-Withdrawal-External,January,102,2013-14,All Students,Withdrawal,0.059016392,0.030912478,External,305,18
102-2013-14-All Students-Net Cumulative-External-January,102-2013-14-All Students-Net Cumulative-External,January,102,2013-14,All Students,Net Cumulative,-0.052459016,0.004394786,External,305,-16
102-2013-14-All Students-Entry-External-March,102-2013-14-All Students-Entry-External,March,102,2013-14,All Students,Entry,0.006557377,0.052588455,External,305,2
102-2013-14-All Students-Withdrawal-External-March,102-2013-14-All Students-Withdrawal-External,March,102,2013-14,All Students,Withdrawal,0.091803275,0.048640598,External,305,28
102-2013-14-All Students-Net Cumulative-External-March,102-2013-14-All Students-Net Cumulative-External,March,102,2013-14,All Students,Net Cumulative,-0.0852459,0.003947859,External,305,-26
102-2013-14-All Students-Entry-External-May,102-2013-14-All Students-Entry-External,May,102,2013-14,All Students,Entry,0.006557377,0.065921791,External,305,2
102-2013-14-All Students-Withdrawal-External-May,102-2013-14-All Students-Withdrawal-External,May,102,2013-14,All Students,Withdrawal,0.114754096,0.069720671,External,305,35
102-2013-14-All Students-Net Cumulative-External-May,102-2013-14-All Students-Net Cumulative-External,May,102,2013-14,All Students,Net Cumulative,-0.10819672,-0.003798883,External,305,-33
102-2013-14-All Students-Entry-External-November,102-2013-14-All Students-Entry-External,November,102,2013-14,All Students,Entry,0,0.020782122,External,305,0
102-2013-14-All Students-Withdrawal-External-November,102-2013-14-All Students-Withdrawal-External,November,102,2013-14,All Students,Withdrawal,0.049180329,0.016536312,External,305,15
102-2013-14-All Students-Net Cumulative-External-November,102-2013-14-All Students-Net Cumulative-External,November,102,2013-14,All Students,Net Cumulative,-0.049180329,0.00424581,External,305,-15
102-2013-14-All Students-Entry-External-October,102-2013-14-All Students-Entry-External,October,102,2013-14,All Students,Entry,0,0.013929237,External,305,0
102-2013-14-All Students-Withdrawal-External-October,102-2013-14-All Students-Withdrawal-External,October,102,2013-14,All Students,Withdrawal,0.04262295,0.008342644,External,305,13
102-2013-14-All Students-Net Cumulative-External-October,102-2013-14-All Students-Net Cumulative-External,October,102,2013-14,All Students,Net Cumulative,-0.04262295,0.005586592,External,305,-13
104-2013-14-All Students-Entry-External-April,104-2013-14-All Students-Entry-External,April,104,2013-14,All Students,Entry,0.091666669,0.063061006,External,120,11
104-2013-14-All Students-Withdrawal-External-April,104-2013-14-All Students-Withdrawal-External,April,104,2013-14,All Students,Withdrawal,0,0.072569601,External,120,0
104-2013-14-All Students-Net Cumulative-External-April,104-2013-14-All Students-Net Cumulative-External,April,104,2013-14,All Students,Net Cumulative,0.091666669,-0.009508596,External,120,11
104-2013-14-All Students-Entry-External-December,104-2013-14-All Students-Entry-External,December,104,2013-14,All Students,Entry,0.091666669,0.043587402,External,120,11
104-2013-14-All Students-Withdrawal-External-December,104-2013-14-All Students-Withdrawal-External,December,104,2013-14,All Students,Withdrawal,0,0.027308688,External,120,0
104-2013-14-All Students-Net Cumulative-External-December,104-2013-14-All Students-Net Cumulative-External,December,104,2013-14,All Students,Net Cumulative,0.091666669,0.016278716,External,120,11
104-2013-14-All Students-Entry-External-February,104-2013-14-All Students-Entry-External,February,104,2013-14,All Students,Entry,0.091666669,0.057355851,External,120,11
104-2013-14-All Students-Withdrawal-External-February,104-2013-14-All Students-Withdrawal-External,February,104,2013-14,All Students,Withdrawal,0,0.055910543,External,120,0
104-2013-14-All Students-Net Cumulative-External-February,104-2013-14-All Students-Net Cumulative-External,February,104,2013-14,All Students,Net Cumulative,0.091666669,0.001445307,External,120,11
104-2013-14-All Students-Entry-External-January,104-2013-14-All Students-Entry-External,January,104,2013-14,All Students,Entry,0.091666669,0.04997718,External,120,11
104-2013-14-All Students-Withdrawal-External-January,104-2013-14-All Students-Withdrawal-External,January,104,2013-14,All Students,Withdrawal,0,0.04693443,External,120,0
104-2013-14-All Students-Net Cumulative-External-January,104-2013-14-All Students-Net Cumulative-External,January,104,2013-14,All Students,Net Cumulative,0.091666669,0.003042751,External,120,11
104-2013-14-All Students-Entry-External-March,104-2013-14-All Students-Entry-External,March,104,2013-14,All Students,Entry,0.091666669,0.060094327,External,120,11
104-2013-14-All Students-Withdrawal-External-March,104-2013-14-All Students-Withdrawal-External,March,104,2013-14,All Students,Withdrawal,0,0.064658448,External,120,0
104-2013-14-All Students-Net Cumulative-External-March,104-2013-14-All Students-Net Cumulative-External,March,104,2013-14,All Students,Net Cumulative,0.091666669,-0.004564126,External,120,11
104-2013-14-All Students-Entry-External-May,104-2013-14-All Students-Entry-External,May,104,2013-14,All Students,Entry,0.091666669,0.064886659,External,120,11
104-2013-14-All Students-Withdrawal-External-May,104-2013-14-All Students-Withdrawal-External,May,104,2013-14,All Students,Withdrawal,0.050000001,0.095162027,External,120,6
104-2013-14-All Students-Net Cumulative-External-May,104-2013-14-All Students-Net Cumulative-External,May,104,2013-14,All Students,Net Cumulative,0.041666668,-0.030275369,External,120,5
104-2013-14-All Students-Entry-External-November,104-2013-14-All Students-Entry-External,November,104,2013-14,All Students,Entry,0.091666669,0.040468585,External,120,11
104-2013-14-All Students-Withdrawal-External-November,104-2013-14-All Students-Withdrawal-External,November,104,2013-14,All Students,Withdrawal,0,0.020006085,External,120,0
104-2013-14-All Students-Net Cumulative-External-November,104-2013-14-All Students-Net Cumulative-External,November,104,2013-14,All Students,Net Cumulative,0.091666669,0.020462498,External,120,11
104-2013-14-All Students-Entry-External-October,104-2013-14-All Students-Entry-External,October,104,2013-14,All Students,Entry,0.091666669,0.035295907,External,120,11
104-2013-14-All Students-Withdrawal-External-October,104-2013-14-All Students-Withdrawal-External,October,104,2013-14,All Students,Withdrawal,0,0.008900045,External,120,0
