School Code,SCHOOL_NAME,ISA (entire campus PK -12),ISA Adult Only
217,Achievement Preparatory Academy PCS – Elementary,93,NA
1100,Achievement Preparatory Academy PCS – Middle,93,NA
3072,AppleTree Early Learning PCS –  SouthEast,82,NA
141,AppleTree Early Learning PCS –  SouthWest,89,NA
140,AppleTree Early Learning PCS – Columbia Heights,87,NA
3073,AppleTree Early Learning PCS – Lincoln Park,92,NA
1137,AppleTree Early Learning PCS – Oklahoma Ave,84,NA
181,Arts and Technology Academy PCS,89,NA
3068,BASIS DC PCS,96,NA
151,Booker T. Washington PCS,67,NA
142,Bridges PCS,92,NA
126,Briya PCS ,82,72
1207,Capital City PCS – High School,90,NA
184,Capital City PCS – Lower School,94,NA
182,Capital City PCS – Middle School,94,NA
1119,Carlos Rosario International PCS ,NA,76
188,Cedar Tree Academy PCS  ,85,NA
1103,Center City PCS – Brightwood,95,NA
1104,Center City PCS – Capitol Hill,91,NA
1105,Center City PCS – Congress Heights,92,NA
1106,Center City PCS – Petworth,94,NA
1107,Center City PCS – Shaw,92,NA
1108,Center City PCS – Trinidad,91,NA
153,César Chávez PCS for Public Policy – Capitol Hill,89,NA
127,César Chávez PCS for Public Policy – Chávez Prep,94,NA
109,César Chávez PCS for Public Policy – Parkside High School,90,NA
102,César Chávez PCS for Public Policy – Parkside Middle School,92,NA
105,Community Academy PCS – Amos 1,93,NA
158,Community Academy PCS – Amos 2,90,NA
1109,Community Academy PCS – Amos 3,91,NA
106,Community Academy PCS – Butler Global,93,NA
108,Community Academy PCS – CAPCS Online,99,NA
216,Community College Preparatory Academy PCS,NA,61
3069,Creative Minds International PCS,95,NA
199,DC Bilingual PCS,95,NA
1110,DC Prep PCS – Benning Elementary,95,NA
218,DC Prep PCS – Benning Middle,94,NA
130,DC Prep PCS – Edgewood Elementary,94,NA
196,DC Prep PCS – Edgewood Middle,96,NA
3070,DC Scholars PCS,92,NA
146,E.L. Haynes PCS – Georgia Avenue,95,NA
1206,E.L. Haynes PCS – Kansas Avenue (Elementary School),95,NA
1138,E.L. Haynes PCS – Kansas Avenue (High School),92,NA
1125,Eagle Academy PCS – New Jersey Avenue,89,NA
195,Eagle Academy PCS – The Eagle Center at McGogney,89,NA
138,Early Childhood Academy PCS,89,NA
159,Elsie Whitlow Stokes Community Freedom PCS,95,NA
1113,Excel Academy PCS,88,NA
361,Friendship PCS – Blow-Pierce Elementary,89,NA
362,Friendship PCS – Blow-Pierce Middle,90,NA
363,Friendship PCS – Chamberlain Elementary,94,NA
364,Friendship PCS – Chamberlain Middle,94,NA
186,Friendship PCS – Collegiate Academy,92,NA
113,Friendship PCS – Southeast Elementary Academy,93,NA
1124,Friendship PCS – Technology Preparatory Academy,93,NA
365,Friendship PCS – Woodridge Elementary,93,NA
366,Friendship PCS – Woodridge Middle,93,NA
131,Hope Community PCS – Lamond,91,NA
114,Hope Community PCS – Tolson,94,NA
160,Hospitality High PCS,81,NA
115,Howard University Middle School of Mathematics and Science PCS,90,NA
163,IDEA (Integrated Design & Electronic Academy) PCS,89,NA
134,Ideal Academy PCS,94,NA
1116,Imagine Southeast PCS,90,NA
200,Ingenuity Prep PCS,88,NA
3064,Inspired Teaching Demonstration PCS,94,NA
116,KIPP DC – AIM Academy PCS,94,NA
1123,KIPP DC – College Preparatory PCS,94,NA
209,KIPP DC – Connect Academy PCS,93,NA
1122,KIPP DC – Discover Academy PCS,92,NA
1129,KIPP DC – Grow Academy PCS,94,NA
3071,KIPP DC – Heights Academy PCS,93,NA
189,KIPP DC – KEY Academy PCS,94,NA
190,KIPP DC – LEAD Academy PCS,96,NA
132,KIPP DC – LEAP Academy PCS,94,NA
1121,KIPP DC – Promise Academy PCS,95,NA
214,KIPP DC – Spring Academy PCS,96,NA
121,KIPP DC – WILL Academy PCS,96,NA
193,Latin American Montessori Bilingual PCS,96,NA
104,LAYC Career Academy PCS,NA,61
135,Mary McLeod Bethune Day Academy PCS,95,NA
101,Maya Angelou PCS – Evans High School,76,NA
133,Maya Angelou PCS – Evans Middle School,84,NA
137,Maya Angelou PCS – Young Adult Learning Center,NA,64
165,Meridian PCS,93,NA
3065,Mundo Verde Bilingual PCS,95,NA
1120,National Collegiate Preparatory PCHS,81,NA
169,Options PCS ,75,NA
170,Paul Public Charter School – Middle School,93,NA
222,Paul Public Charter School – International High School,93,NA
161,Perry Street Preparatory PCS ,89,NA
117,Potomac Lighthouse PCS,90,NA
3067,Richard Wright PCS for Journalism and Media Arts,87,NA
173,Roots PCS,92,NA
174,"SEED Public Charter School of Washington, D.C.",93,NA
197,SELA,92,NA
3066,Shining Stars Montessori Academy PCS,90,NA
187,Somerset Preparatory Academy PCS,89,NA
1047,St. Coletta Special Education PCS,89,NA
168,The Next Step/El Próximo Paso PCS,NA,66
191,Thurgood Marshall Academy PCS,93,NA
183,Tree of Life PCS,95,NA
198,Two Rivers PCS,95,NA
125,Washington Latin PCS – Middle School,97,NA
1118,Washington Latin PCS – Upper School,95,NA
178,Washington Mathematics Science Technology PCHS,93,NA
1117,Washington Yu Ying PCS,97,NA
210,"William E. Doar, Jr. PCS for the Performing Arts",92,NA
128,YouthBuild PCS,NA,68
,,,
,,,
