school_code,School Name,entry_month,Entries,enrollment,Pct Entry
101,Maya Angelou PCS – Evans High School,1,1,296,0.0034
101,Maya Angelou PCS – Evans High School,2,1,296,0.0034
101,Maya Angelou PCS – Evans High School,3,1,296,0.0034
101,Maya Angelou PCS – Evans High School,4,1,296,0.0034
101,Maya Angelou PCS – Evans High School,5,1,296,0.0034
101,Maya Angelou PCS – Evans High School,10,1,296,0.0034
101,Maya Angelou PCS – Evans High School,11,1,296,0.0034
101,Maya Angelou PCS – Evans High School,12,1,296,0.0034
102,César Chávez PCS for Public Policy – Parkside Middle School,1,2,305,0.0066
102,César Chávez PCS for Public Policy – Parkside Middle School,2,2,305,0.0066
102,César Chávez PCS for Public Policy – Parkside Middle School,3,2,305,0.0066
102,César Chávez PCS for Public Policy – Parkside Middle School,4,2,305,0.0066
102,César Chávez PCS for Public Policy – Parkside Middle School,5,2,305,0.0066
102,César Chávez PCS for Public Policy – Parkside Middle School,10,0,305,0.0000
102,César Chávez PCS for Public Policy – Parkside Middle School,11,0,305,0.0000
102,César Chávez PCS for Public Policy – Parkside Middle School,12,0,305,0.0000
1047,St. Coletta Special Education PCS,1,5,250,0.0200
1047,St. Coletta Special Education PCS,2,8,250,0.0320
1047,St. Coletta Special Education PCS,3,10,250,0.0400
1047,St. Coletta Special Education PCS,4,11,250,0.0440
1047,St. Coletta Special Education PCS,5,12,250,0.0480
1047,St. Coletta Special Education PCS,10,0,250,0.0000
1047,St. Coletta Special Education PCS,11,1,250,0.0040
1047,St. Coletta Special Education PCS,12,3,250,0.0120
105,Community Academy PCS – Amos 1,1,5,596,0.0084
105,Community Academy PCS – Amos 1,2,6,596,0.0101
105,Community Academy PCS – Amos 1,3,8,596,0.0134
105,Community Academy PCS – Amos 1,4,8,596,0.0134
105,Community Academy PCS – Amos 1,5,8,596,0.0134
105,Community Academy PCS – Amos 1,10,3,596,0.0050
105,Community Academy PCS – Amos 1,11,3,596,0.0050
105,Community Academy PCS – Amos 1,12,3,596,0.0050
106,Community Academy PCS – Butler Global,1,6,264,0.0227
106,Community Academy PCS – Butler Global,2,6,264,0.0227
106,Community Academy PCS – Butler Global,3,6,264,0.0227
106,Community Academy PCS – Butler Global,4,6,264,0.0227
106,Community Academy PCS – Butler Global,5,6,264,0.0227
106,Community Academy PCS – Butler Global,10,4,264,0.0152
106,Community Academy PCS – Butler Global,11,6,264,0.0227
106,Community Academy PCS – Butler Global,12,6,264,0.0227
108,Community Academy PCS – CAPCS Online,1,1,147,0.0068
108,Community Academy PCS – CAPCS Online,2,3,147,0.0204
108,Community Academy PCS – CAPCS Online,3,3,147,0.0204
108,Community Academy PCS – CAPCS Online,4,3,147,0.0204
108,Community Academy PCS – CAPCS Online,5,3,147,0.0204
108,Community Academy PCS – CAPCS Online,10,0,147,0.0000
108,Community Academy PCS – CAPCS Online,11,0,147,0.0000
108,Community Academy PCS – CAPCS Online,12,1,147,0.0068
109,César Chávez PCS for Public Policy – Parkside High School,1,3,373,0.0080
109,César Chávez PCS for Public Policy – Parkside High School,2,3,373,0.0080
109,César Chávez PCS for Public Policy – Parkside High School,3,3,373,0.0080
109,César Chávez PCS for Public Policy – Parkside High School,4,3,373,0.0080
109,César Chávez PCS for Public Policy – Parkside High School,5,4,373,0.0107
109,César Chávez PCS for Public Policy – Parkside High School,10,0,373,0.0000
109,César Chávez PCS for Public Policy – Parkside High School,11,0,373,0.0000
109,César Chávez PCS for Public Policy – Parkside High School,12,0,373,0.0000
1100,Achievement Preparatory Academy PCS – Middle,1,1,382,0.0026
1100,Achievement Preparatory Academy PCS – Middle,2,1,382,0.0026
1100,Achievement Preparatory Academy PCS – Middle,3,1,382,0.0026
1100,Achievement Preparatory Academy PCS – Middle,4,1,382,0.0026
1100,Achievement Preparatory Academy PCS – Middle,5,1,382,0.0026
1100,Achievement Preparatory Academy PCS – Middle,10,0,382,0.0000
1100,Achievement Preparatory Academy PCS – Middle,11,0,382,0.0000
1100,Achievement Preparatory Academy PCS – Middle,12,0,382,0.0000
1106,Center City PCS – Petworth,1,0,237,0.0000
1106,Center City PCS – Petworth,2,0,237,0.0000
1106,Center City PCS – Petworth,3,0,237,0.0000
1106,Center City PCS – Petworth,4,0,237,0.0000
1106,Center City PCS – Petworth,5,1,237,0.0042
1106,Center City PCS – Petworth,10,0,237,0.0000
1106,Center City PCS – Petworth,11,0,237,0.0000
1106,Center City PCS – Petworth,12,0,237,0.0000
1108,Center City PCS – Trinidad,1,0,226,0.0000
1108,Center City PCS – Trinidad,2,0,226,0.0000
1108,Center City PCS – Trinidad,3,1,226,0.0044
1108,Center City PCS – Trinidad,4,1,226,0.0044
1108,Center City PCS – Trinidad,5,1,226,0.0044
1108,Center City PCS – Trinidad,10,0,226,0.0000
1108,Center City PCS – Trinidad,11,0,226,0.0000
1108,Center City PCS – Trinidad,12,0,226,0.0000
1113,Excel Academy PCS,1,4,617,0.0065
1113,Excel Academy PCS,2,4,617,0.0065
1113,Excel Academy PCS,3,4,617,0.0065
1113,Excel Academy PCS,4,4,617,0.0065
1113,Excel Academy PCS,5,4,617,0.0065
1113,Excel Academy PCS,10,3,617,0.0049
1113,Excel Academy PCS,11,3,617,0.0049
1113,Excel Academy PCS,12,3,617,0.0049
1116,Imagine Southeast PCS,1,1,468,0.0021
1116,Imagine Southeast PCS,2,1,468,0.0021
1116,Imagine Southeast PCS,3,1,468,0.0021
1116,Imagine Southeast PCS,4,1,468,0.0021
1116,Imagine Southeast PCS,5,1,468,0.0021
1116,Imagine Southeast PCS,10,1,468,0.0021
1116,Imagine Southeast PCS,11,1,468,0.0021
1116,Imagine Southeast PCS,12,1,468,0.0021
