school_code,School Name,exit_month,exits,enrollment,pct_exits
101,Maya Angelou PCS – Evans High School,5,80,296,0.2700
101,Maya Angelou PCS – Evans High School,4,67,296,0.2260
101,Maya Angelou PCS – Evans High School,3,62,296,0.2090
101,Maya Angelou PCS – Evans High School,2,52,296,0.1760
101,Maya Angelou PCS – Evans High School,1,34,296,0.1150
101,Maya Angelou PCS – Evans High School,12,22,296,0.0740
101,Maya Angelou PCS – Evans High School,11,19,296,0.0640
101,Maya Angelou PCS – Evans High School,10,7,296,0.0240
102,César Chávez PCS for Public Policy – Parkside Middle School,5,25,305,0.0820
102,César Chávez PCS for Public Policy – Parkside Middle School,4,23,305,0.0750
102,César Chávez PCS for Public Policy – Parkside Middle School,3,19,305,0.0620
102,César Chávez PCS for Public Policy – Parkside Middle School,2,13,305,0.0430
102,César Chávez PCS for Public Policy – Parkside Middle School,1,9,305,0.0300
102,César Chávez PCS for Public Policy – Parkside Middle School,12,7,305,0.0230
102,César Chávez PCS for Public Policy – Parkside Middle School,11,6,305,0.0200
102,César Chávez PCS for Public Policy – Parkside Middle School,10,4,305,0.0130
105,Community Academy PCS – Amos 1,5,27,596,0.0450
105,Community Academy PCS – Amos 1,2,25,596,0.0420
105,Community Academy PCS – Amos 1,3,25,596,0.0420
105,Community Academy PCS – Amos 1,4,25,596,0.0420
105,Community Academy PCS – Amos 1,1,22,596,0.0370
105,Community Academy PCS – Amos 1,12,14,596,0.0230
105,Community Academy PCS – Amos 1,11,8,596,0.0130
105,Community Academy PCS – Amos 1,10,5,596,0.0080
106,Community Academy PCS – Butler Global,5,11,264,0.0420
106,Community Academy PCS – Butler Global,4,10,264,0.0380
106,Community Academy PCS – Butler Global,2,8,264,0.0300
106,Community Academy PCS – Butler Global,3,8,264,0.0300
106,Community Academy PCS – Butler Global,1,7,264,0.0270
106,Community Academy PCS – Butler Global,12,7,264,0.0270
106,Community Academy PCS – Butler Global,11,4,264,0.0150
106,Community Academy PCS – Butler Global,10,1,264,0.0040
108,Community Academy PCS – CAPCS Online,5,37,147,0.2520
108,Community Academy PCS – CAPCS Online,3,36,147,0.2450
108,Community Academy PCS – CAPCS Online,4,36,147,0.2450
108,Community Academy PCS – CAPCS Online,2,32,147,0.2180
108,Community Academy PCS – CAPCS Online,1,28,147,0.1900
108,Community Academy PCS – CAPCS Online,12,22,147,0.1500
108,Community Academy PCS – CAPCS Online,11,16,147,0.1090
108,Community Academy PCS – CAPCS Online,10,8,147,0.0540
109,César Chávez PCS for Public Policy – Parkside High School,5,22,373,0.0590
109,César Chávez PCS for Public Policy – Parkside High School,4,21,373,0.0560
109,César Chávez PCS for Public Policy – Parkside High School,3,18,373,0.0480
109,César Chávez PCS for Public Policy – Parkside High School,2,15,373,0.0400
109,César Chávez PCS for Public Policy – Parkside High School,1,14,373,0.0380
109,César Chávez PCS for Public Policy – Parkside High School,11,7,373,0.0190
109,César Chávez PCS for Public Policy – Parkside High School,12,7,373,0.0190
109,César Chávez PCS for Public Policy – Parkside High School,10,3,373,0.0080
113,Friendship PCS – Southeast Elementary Academy,5,12,559,0.0210
113,Friendship PCS – Southeast Elementary Academy,4,11,559,0.0200
113,Friendship PCS – Southeast Elementary Academy,1,10,559,0.0180
113,Friendship PCS – Southeast Elementary Academy,2,10,559,0.0180
113,Friendship PCS – Southeast Elementary Academy,3,10,559,0.0180
113,Friendship PCS – Southeast Elementary Academy,12,9,559,0.0160
113,Friendship PCS – Southeast Elementary Academy,11,6,559,0.0110
113,Friendship PCS – Southeast Elementary Academy,10,3,559,0.0050
114,Hope Community PCS – Tolson,4,30,451,0.0670
114,Hope Community PCS – Tolson,5,30,451,0.0670
114,Hope Community PCS – Tolson,3,27,451,0.0600
114,Hope Community PCS – Tolson,1,22,451,0.0490
114,Hope Community PCS – Tolson,2,22,451,0.0490
114,Hope Community PCS – Tolson,12,18,451,0.0400
114,Hope Community PCS – Tolson,11,12,451,0.0270
114,Hope Community PCS – Tolson,10,3,451,0.0070
115,Howard University Middle School of Mathematics and Science PCS,5,16,318,0.0500
115,Howard University Middle School of Mathematics and Science PCS,4,12,318,0.0380
115,Howard University Middle School of Mathematics and Science PCS,3,10,318,0.0310
115,Howard University Middle School of Mathematics and Science PCS,2,9,318,0.0280
115,Howard University Middle School of Mathematics and Science PCS,1,6,318,0.0190
115,Howard University Middle School of Mathematics and Science PCS,12,3,318,0.0090
115,Howard University Middle School of Mathematics and Science PCS,11,2,318,0.0060
115,Howard University Middle School of Mathematics and Science PCS,10,1,318,0.0030
116,KIPP DC – AIM Academy PCS,4,23,338,0.0680
116,KIPP DC – AIM Academy PCS,5,23,338,0.0680
116,KIPP DC – AIM Academy PCS,3,18,338,0.0530
116,KIPP DC – AIM Academy PCS,2,13,338,0.0380
116,KIPP DC – AIM Academy PCS,1,11,338,0.0330
116,KIPP DC – AIM Academy PCS,12,7,338,0.0210
116,KIPP DC – AIM Academy PCS,11,2,338,0.0060
116,KIPP DC – AIM Academy PCS,10,1,338,0.0030
117,Potomac Lighthouse PCS,5,46,423,0.1090
117,Potomac Lighthouse PCS,4,44,423,0.1040
117,Potomac Lighthouse PCS,3,39,423,0.0920
117,Potomac Lighthouse PCS,2,33,423,0.0780
117,Potomac Lighthouse PCS,1,31,423,0.0730
117,Potomac Lighthouse PCS,12,28,423,0.0660
117,Potomac Lighthouse PCS,11,23,423,0.0540
