School Code,SCHOOL_NAME,OOS incidents
217,Achievement Preparatory Academy PCS – Elementary,32
1100,Achievement Preparatory Academy PCS – Middle,118
3072,AppleTree Early Learning PCS –  SouthEast,4
141,AppleTree Early Learning PCS –  SouthWest,20
140,AppleTree Early Learning PCS – Columbia Heights,27
3073,AppleTree Early Learning PCS – Lincoln Park,5
1137,AppleTree Early Learning PCS – Oklahoma Ave,12
181,Arts and Technology Academy PCS,72
3068,BASIS DC PCS,102
151,Booker T. Washington PCS,43
142,Bridges PCS,1
126,Briya PCS ,0
1207,Capital City PCS – High School,84
184,Capital City PCS – Lower School,21
182,Capital City PCS – Middle School,52
1119,Carlos Rosario International PCS ,0
188,Cedar Tree Academy PCS  ,22
1103,Center City PCS – Brightwood,26
1104,Center City PCS – Capitol Hill,89
1105,Center City PCS – Congress Heights,30
1106,Center City PCS – Petworth,26
1107,Center City PCS – Shaw,95
1108,Center City PCS – Trinidad,86
153,César Chávez PCS for Public Policy – Capitol Hill,85
127,César Chávez PCS for Public Policy – Chávez Prep,107
109,César Chávez PCS for Public Policy – Parkside High School,58
102,César Chávez PCS for Public Policy – Parkside Middle School,195
105,Community Academy PCS – Amos 1,3
158,Community Academy PCS – Amos 2,2
1109,Community Academy PCS – Amos 3,32
106,Community Academy PCS – Butler Global,10
108,Community Academy PCS – CAPCS Online,0
216,Community College Preparatory Academy PCS,0
3069,Creative Minds International PCS,2
199,DC Bilingual PCS,21
1110,DC Prep PCS – Benning Elementary,243
218,DC Prep PCS – Benning Middle,97
130,DC Prep PCS – Edgewood Elementary,135
196,DC Prep PCS – Edgewood Middle,293
3070,DC Scholars PCS,36
146,E.L. Haynes PCS – Georgia Avenue,75
1206,E.L. Haynes PCS – Kansas Avenue (Elementary School),12
1138,E.L. Haynes PCS – Kansas Avenue (High School),105
1125,Eagle Academy PCS – New Jersey Avenue,12
195,Eagle Academy PCS – The Eagle Center at McGogney,15
138,Early Childhood Academy PCS,8
159,Elsie Whitlow Stokes Community Freedom PCS,20
1113,Excel Academy PCS,123
361,Friendship PCS – Blow-Pierce Elementary,82
362,Friendship PCS – Blow-Pierce Middle,127
363,Friendship PCS – Chamberlain Elementary,15
364,Friendship PCS – Chamberlain Middle,50
186,Friendship PCS – Collegiate Academy,287
113,Friendship PCS – Southeast Elementary Academy,117
1124,Friendship PCS – Technology Preparatory Academy,49
365,Friendship PCS – Woodridge Elementary,26
366,Friendship PCS – Woodridge Middle,102
131,Hope Community PCS – Lamond,24
114,Hope Community PCS – Tolson,3
160,Hospitality High PCS,124
115,Howard University Middle School of Mathematics and Science PCS,182
163,IDEA (Integrated Design & Electronic Academy) PCS,97
134,Ideal Academy PCS,31
1116,Imagine Southeast PCS,191
200,Ingenuity Prep PCS,68
3064,Inspired Teaching Demonstration PCS,14
116,KIPP DC – AIM Academy PCS,189
1123,KIPP DC – College Preparatory PCS,206
209,KIPP DC – Connect Academy PCS,3
1122,KIPP DC – Discover Academy PCS,19
1129,KIPP DC – Grow Academy PCS,7
3071,KIPP DC – Heights Academy PCS,31
189,KIPP DC – KEY Academy PCS,230
190,KIPP DC – LEAD Academy PCS,9
132,KIPP DC – LEAP Academy PCS,9
1121,KIPP DC – Promise Academy PCS,88
214,KIPP DC – Spring Academy PCS,20
121,KIPP DC – WILL Academy PCS,237
193,Latin American Montessori Bilingual PCS,0
104,LAYC Career Academy PCS,2
135,Mary McLeod Bethune Day Academy PCS,76
101,Maya Angelou PCS – Evans High School,137
133,Maya Angelou PCS – Evans Middle School,77
137,Maya Angelou PCS – Young Adult Learning Center,5
165,Meridian PCS,71
3065,Mundo Verde Bilingual PCS,5
1120,National Collegiate Preparatory PCHS,19
169,Options PCS ,163
170,Paul Public Charter School – Middle School,283
222,Paul Public Charter School – International High School,111
161,Perry Street Preparatory PCS ,392
117,Potomac Lighthouse PCS,79
3067,Richard Wright PCS for Journalism and Media Arts,85
173,Roots PCS,0
174,"SEED Public Charter School of Washington, D.C.",327
197,SELA,4
3066,Shining Stars Montessori Academy PCS,0
187,Somerset Preparatory Academy PCS,92
1047,St. Coletta Special Education PCS,8
168,The Next Step/El Próximo Paso PCS,1
191,Thurgood Marshall Academy PCS,79
183,Tree of Life PCS,172
198,Two Rivers PCS,65
125,Washington Latin PCS – Middle School,12
1118,Washington Latin PCS – Upper School,21
178,Washington Mathematics Science Technology PCHS,33
1117,Washington Yu Ying PCS,20
210,"William E. Doar, Jr. PCS for the Performing Arts",56
128,YouthBuild PCS,1
,,
,TOTALS,7689
,Adult Education Programs -- Attendance is later and may be validated externally,
