Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,Month,ReportType,NSize
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.050000001,0.140000001,April,External,296
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.230000004,0.090000004,April,External,296
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.180000007,0.039999999,April,External,296
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.039999999,0.079999998,December,External,296
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.079999998,0.029999999,December,External,296
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.029999999,0.050000001,December,External,296
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.039999999,0.109999999,February,External,296
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.170000002,0.059999999,February,External,296
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.129999995,0.050000001,February,External,296
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.039999999,0.100000001,January,External,296
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.119999997,0.050000001,January,External,296
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.07,0.050000001,January,External,296
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.050000001,0.129999995,March,External,296
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.209999993,0.079999998,March,External,296
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.159999996,0.050000001,March,External,296
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.050000001,0.140000001,May,External,296
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.270000011,0.109999999,May,External,296
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.219999999,0.039999999,May,External,296
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.039999999,0.07,November,External,296
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.07,0.02,November,External,296
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.02,0.050000001,November,External,296
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.039999999,0.059999999,October,External,296
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.039999999,0.01,October,External,296
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,0,0.050000001,October,External,296
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.01,0.119999997,April,External,305
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.109999999,0.109999999,April,External,305
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.100000001,0.01,April,External,305
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0,0.079999998,December,External,305
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.050000001,0.07,December,External,305
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.050000001,0.02,December,External,305
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.01,0.100000001,February,External,305
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.07,0.079999998,February,External,305
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.07,0.02,February,External,305
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.01,0.090000004,January,External,305
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.059999999,0.07,January,External,305
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.050000001,0.02,January,External,305
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.01,0.109999999,March,External,305
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.090000004,0.090000004,March,External,305
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.090000004,0.02,March,External,305
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.01,0.119999997,May,External,305
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.119999997,0.129999995,May,External,305
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.109999999,0,May,External,305
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0,0.079999998,November,External,305
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.050000001,0.059999999,November,External,305
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.050000001,0.02,November,External,305
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0,0.07,October,External,305
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.039999999,0.050000001,October,External,305
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.039999999,0.02,October,External,305
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.330000013,0.230000004,April,External,120
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.889999986,0.25,April,External,120
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.560000002,-0.02,April,External,120
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.100000001,0.109999999,December,External,120
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.289999992,0.100000001,December,External,120
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.189999998,0,December,External,120
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.330000013,0.189999998,February,External,120
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.680000007,0.170000002,February,External,120
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.340000004,0.02,February,External,120
