Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,Month,ReportType,NSize,count
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.047297299,0.091431394,April,External,296,14
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.222972974,0.083091371,April,External,296,66
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.175675675,0.008340026,April,External,296,-52
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.043918919,0.041453019,December,External,296,13
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.074324325,0.027120529,December,External,296,22
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.030405406,0.014332489,December,External,296,-9
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.043918919,0.071724221,February,External,296,13
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.168918923,0.05782418,February,External,296,50
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.125,0.013900043,February,External,296,-37
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.043918919,0.056835733,January,External,296,13
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.114864863,0.044541918,January,External,296,34
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.070945948,0.012293816,January,External,296,-21
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.047297299,0.081608698,March,External,296,14
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.206081077,0.071353555,March,External,296,61
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.158783779,0.010255143,March,External,296,-47
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.047297299,0.098906532,May,External,296,14
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.266891897,0.09427318,May,External,296,79
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.219594598,0.004633348,May,External,296,-65
