Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize
101-2013-14-All Students-Suspended 1+-External,101,2013-14,All Students,Suspended 1+,28.04000092,18.28000069,External,296
101-2013-14-All Students-Expulsions-External,101,2013-14,All Students,Expulsions,3,78,External,296
101-2013-14-All Students-Expulsion Rate-External,101,2013-14,All Students,Expulsion Rate,1.01,0.45,External,296
101-2013-14-All Students-Suspended 11+-External,101,2013-14,All Students,Suspended 11+,6.760000229,0.730000019,External,296
101-2013-14-All Students-Total Suspensions-External,101,2013-14,All Students,Total Suspensions,96,3199,External,296
101-2013-14-Black non-Hispanic-Suspended 11+-External,101,2013-14,Black non-Hispanic,Suspended 11+,6.760000229,0.800000012,External,296
101-2013-14-Black non-Hispanic-Suspended 1+-External,101,2013-14,Black non-Hispanic,Suspended 1+,28.04000092,21.26000023,External,296
101-2013-14-Female-Suspended 11+-External,101,2013-14,Female,Suspended 11+,4.699999809,0.550000012,External,149
101-2013-14-Female-Suspended 1+-External,101,2013-14,Female,Suspended 1+,23.48999977,15.10999966,External,149
101-2013-14-Free or Reduced Lunch-Suspended 1+-External,101,2013-14,Free or Reduced Lunch,Suspended 1+,27.36000061,21.11000061,External,296
101-2013-14-Free or Reduced Lunch-Suspended 11+-External,101,2013-14,Free or Reduced Lunch,Suspended 11+,6.760000229,0.870000005,External,296
101-2013-14-Male-Suspended 11+-External,101,2013-14,Male,Suspended 11+,8.840000153,0.910000026,External,147
101-2013-14-Male-Suspended 1+-External,101,2013-14,Male,Suspended 1+,32.65000153,21.57999992,External,147
101-2013-14-Special Education-Suspended 1+-External,101,2013-14,Special Education,Suspended 1+,32.63000107,29.89999962,External,95
101-2013-14-Special Education-Suspended 11+-External,101,2013-14,Special Education,Suspended 11+,10.52999973,1.279999971,External,95
102-2013-14-All Students-Suspended 1+-External,102,2013-14,All Students,Suspended 1+,34.43000031,25.05999947,External,305
102-2013-14-All Students-Expulsions-External,102,2013-14,All Students,Expulsions,6,42,External,305
102-2013-14-All Students-Total Suspensions-External,102,2013-14,All Students,Total Suspensions,106,3381,External,305
102-2013-14-All Students-Suspended 11+-External,102,2013-14,All Students,Suspended 11+,0,1.019999981,External,305
102-2013-14-All Students-Expulsion Rate-External,102,2013-14,All Students,Expulsion Rate,1.97,0.31,External,305
102-2013-14-Black non-Hispanic-Suspended 11+-External,102,2013-14,Black non-Hispanic,Suspended 11+,0,1.320000052,External,291
102-2013-14-Black non-Hispanic-Suspended 1+-External,102,2013-14,Black non-Hispanic,Suspended 1+,34.70999908,30.44000053,External,291
102-2013-14-Female-Suspended 1+-External,102,2013-14,Female,Suspended 1+,32.29999924,20.26000023,External,161
102-2013-14-Female-Suspended 11+-External,102,2013-14,Female,Suspended 11+,0,0.730000019,External,161
102-2013-14-Free or Reduced Lunch-Suspended 11+-External,102,2013-14,Free or Reduced Lunch,Suspended 11+,0,1.279999971,External,305
102-2013-14-Free or Reduced Lunch-Suspended 1+-External,102,2013-14,Free or Reduced Lunch,Suspended 1+,34.43000031,29.22999954,External,305
102-2013-14-Hispanic / Latino-Suspended 11+-External,102,2013-14,Hispanic / Latino,Suspended 11+,0,0.119999997,External,13
102-2013-14-Hispanic / Latino-Suspended 1+-External,102,2013-14,Hispanic / Latino,Suspended 1+,30.77000046,25.85000038,External,13
102-2013-14-Male-Suspended 1+-External,102,2013-14,Male,Suspended 1+,36.81000137,29.79000092,External,144
102-2013-14-Male-Suspended 11+-External,102,2013-14,Male,Suspended 11+,0,1.309999943,External,144
102-2013-14-Special Education-Suspended 11+-External,102,2013-14,Special Education,Suspended 11+,0,1.370000005,External,45
102-2013-14-Special Education-Suspended 1+-External,102,2013-14,Special Education,Suspended 1+,33.33000183,33.99000168,External,45
104-2013-14-All Students-Expulsions-External,104,2013-14,All Students,Expulsions,1,47,External,120
104-2013-14-All Students-Expulsion Rate-External,104,2013-14,All Students,Expulsion Rate,0.83,0.28,External,120
104-2013-14-All Students-Suspended 1+-External,104,2013-14,All Students,Suspended 1+,1.669999957,10.67000008,External,120
104-2013-14-All Students-Total Suspensions-External,104,2013-14,All Students,Total Suspensions,2,1769,External,120
104-2013-14-All Students-Suspended 11+-External,104,2013-14,All Students,Suspended 11+,0,0.330000013,External,120
104-2013-14-Black non-Hispanic-Suspended 1+-External,104,2013-14,Black non-Hispanic,Suspended 1+,3.700000048,13.94999981,External,54
104-2013-14-Black non-Hispanic-Suspended 11+-External,104,2013-14,Black non-Hispanic,Suspended 11+,0,0.419999987,External,54
104-2013-14-Female-Suspended 1+-External,104,2013-14,Female,Suspended 1+,0,8.529999733,External,71
104-2013-14-Female-Suspended 11+-External,104,2013-14,Female,Suspended 11+,0,0.209999993,External,71
104-2013-14-Hispanic / Latino-Suspended 1+-External,104,2013-14,Hispanic / Latino,Suspended 1+,0,3.430000067,External,57
104-2013-14-Hispanic / Latino-Suspended 11+-External,104,2013-14,Hispanic / Latino,Suspended 11+,0,0.159999996,External,57
104-2013-14-Limited English Proficiency-Suspended 1+-External,104,2013-14,Limited English Proficiency,Suspended 1+,0,7.769999981,External,15
104-2013-14-Limited English Proficiency-Suspended 11+-External,104,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,15
104-2013-14-Male-Suspended 11+-External,104,2013-14,Male,Suspended 11+,0,0.469999999,External,48
104-2013-14-Male-Suspended 1+-External,104,2013-14,Male,Suspended 1+,4.170000076,13.18999958,External,48
105-2013-14-All Students-Suspended 1+-External,105,2013-14,All Students,Suspended 1+,0.5,5.519999981,External,596
105-2013-14-All Students-Total Suspensions-External,105,2013-14,All Students,Total Suspensions,3,2583,External,596
105-2013-14-All Students-Expulsion Rate-External,105,2013-14,All Students,Expulsion Rate,0,0.02,External,596
105-2013-14-All Students-Expulsions-External,105,2013-14,All Students,Expulsions,0,10,External,596
105-2013-14-All Students-Suspended 11+-External,105,2013-14,All Students,Suspended 11+,0,0.01,External,596
105-2013-14-Black non-Hispanic-Suspended 1+-External,105,2013-14,Black non-Hispanic,Suspended 1+,0.550000012,7.440000057,External,366
105-2013-14-Black non-Hispanic-Suspended 11+-External,105,2013-14,Black non-Hispanic,Suspended 11+,0,0.01,External,366
105-2013-14-Female-Suspended 1+-External,105,2013-14,Female,Suspended 1+,0.330000013,3.400000095,External,299
105-2013-14-Female-Suspended 11+-External,105,2013-14,Female,Suspended 11+,0,0,External,299
105-2013-14-Free or Reduced Lunch-Suspended 11+-External,105,2013-14,Free or Reduced Lunch,Suspended 11+,0,0.01,External,595
105-2013-14-Free or Reduced Lunch-Suspended 1+-External,105,2013-14,Free or Reduced Lunch,Suspended 1+,0.5,6.639999866,External,595
105-2013-14-Hispanic / Latino-Suspended 11+-External,105,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,211
105-2013-14-Hispanic / Latino-Suspended 1+-External,105,2013-14,Hispanic / Latino,Suspended 1+,0.469999999,3.920000076,External,211
105-2013-14-Limited English Proficiency-Suspended 1+-External,105,2013-14,Limited English Proficiency,Suspended 1+,0,1.710000038,External,233
105-2013-14-Limited English Proficiency-Suspended 11+-External,105,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,233
105-2013-14-Male-Suspended 11+-External,105,2013-14,Male,Suspended 11+,0,0.01,External,296
105-2013-14-Male-Suspended 1+-External,105,2013-14,Male,Suspended 1+,0.680000007,7.619999886,External,296
105-2013-14-Multiracial-Suspended 11+-External,105,2013-14,Multiracial,Suspended 11+,0,0,External,13
105-2013-14-Multiracial-Suspended 1+-External,105,2013-14,Multiracial,Suspended 1+,0,1.74000001,External,13
105-2013-14-Special Education-Suspended 1+-External,105,2013-14,Special Education,Suspended 1+,3.849999905,10.75,External,52
105-2013-14-Special Education-Suspended 11+-External,105,2013-14,Special Education,Suspended 11+,0,0,External,52
106-2013-14-All Students-Expulsion Rate-External,106,2013-14,All Students,Expulsion Rate,0,0.02,External,264
106-2013-14-All Students-Suspended 11+-External,106,2013-14,All Students,Suspended 11+,0,0.01,External,264
106-2013-14-All Students-Suspended 1+-External,106,2013-14,All Students,Suspended 1+,3.029999971,5.519999981,External,264
106-2013-14-All Students-Expulsions-External,106,2013-14,All Students,Expulsions,0,10,External,264
106-2013-14-All Students-Total Suspensions-External,106,2013-14,All Students,Total Suspensions,8,2583,External,264
106-2013-14-Black non-Hispanic-Suspended 11+-External,106,2013-14,Black non-Hispanic,Suspended 11+,0,0.01,External,193
106-2013-14-Black non-Hispanic-Suspended 1+-External,106,2013-14,Black non-Hispanic,Suspended 1+,3.109999895,7.440000057,External,193
106-2013-14-Female-Suspended 1+-External,106,2013-14,Female,Suspended 1+,0.699999988,3.400000095,External,143
106-2013-14-Female-Suspended 11+-External,106,2013-14,Female,Suspended 11+,0,0,External,143
106-2013-14-Free or Reduced Lunch-Suspended 1+-External,106,2013-14,Free or Reduced Lunch,Suspended 1+,3.029999971,6.639999866,External,264
106-2013-14-Free or Reduced Lunch-Suspended 11+-External,106,2013-14,Free or Reduced Lunch,Suspended 11+,0,0.01,External,264
106-2013-14-Hispanic / Latino-Suspended 1+-External,106,2013-14,Hispanic / Latino,Suspended 1+,2.039999962,3.920000076,External,49
106-2013-14-Hispanic / Latino-Suspended 11+-External,106,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,49
106-2013-14-Limited English Proficiency-Suspended 11+-External,106,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,60
106-2013-14-Limited English Proficiency-Suspended 1+-External,106,2013-14,Limited English Proficiency,Suspended 1+,1.669999957,1.710000038,External,60
106-2013-14-Male-Suspended 1+-External,106,2013-14,Male,Suspended 1+,5.789999962,7.619999886,External,121
106-2013-14-Male-Suspended 11+-External,106,2013-14,Male,Suspended 11+,0,0.01,External,121
106-2013-14-Multiracial-Suspended 11+-External,106,2013-14,Multiracial,Suspended 11+,0,0,External,10
106-2013-14-Multiracial-Suspended 1+-External,106,2013-14,Multiracial,Suspended 1+,0,1.74000001,External,10
106-2013-14-Special Education-Suspended 11+-External,106,2013-14,Special Education,Suspended 11+,0,0,External,28
106-2013-14-Special Education-Suspended 1+-External,106,2013-14,Special Education,Suspended 1+,0,10.75,External,28
108-2013-14-All Students-Expulsions-External,108,2013-14,All Students,Expulsions,0,52,External,147
108-2013-14-All Students-Suspended 1+-External,108,2013-14,All Students,Suspended 1+,0,12.02000046,External,147
108-2013-14-All Students-Expulsion Rate-External,108,2013-14,All Students,Expulsion Rate,0,0.11,External,147
108-2013-14-All Students-Total Suspensions-External,108,2013-14,All Students,Total Suspensions,0,5819,External,147
108-2013-14-All Students-Suspended 11+-External,108,2013-14,All Students,Suspended 11+,0,0.289999992,External,147
108-2013-14-Black non-Hispanic-Suspended 11+-External,108,2013-14,Black non-Hispanic,Suspended 11+,0,0.400000006,External,97
108-2013-14-Black non-Hispanic-Suspended 1+-External,108,2013-14,Black non-Hispanic,Suspended 1+,0,15.72000027,External,97
108-2013-14-Female-Suspended 11+-External,108,2013-14,Female,Suspended 11+,0,0.209999993,External,77
108-2013-14-Female-Suspended 1+-External,108,2013-14,Female,Suspended 1+,0,8.739999771,External,77
108-2013-14-Free or Reduced Lunch-Suspended 11+-External,108,2013-14,Free or Reduced Lunch,Suspended 11+,0,0.370000005,External,56
108-2013-14-Free or Reduced Lunch-Suspended 1+-External,108,2013-14,Free or Reduced Lunch,Suspended 1+,0,14.32999992,External,56
108-2013-14-Male-Suspended 1+-External,108,2013-14,Male,Suspended 1+,0,15.25,External,70
108-2013-14-Male-Suspended 11+-External,108,2013-14,Male,Suspended 11+,0,0.379999995,External,70
108-2013-14-Special Education-Suspended 11+-External,108,2013-14,Special Education,Suspended 11+,0,0.5,External,16
108-2013-14-Special Education-Suspended 1+-External,108,2013-14,Special Education,Suspended 1+,0,20.43000031,External,16
108-2013-14-White non-Hispanic-Suspended 1+-External,108,2013-14,White non-Hispanic,Suspended 1+,0,0.850000024,External,40
108-2013-14-White non-Hispanic-Suspended 11+-External,108,2013-14,White non-Hispanic,Suspended 11+,0,0.02,External,40
109-2013-14-All Students-Suspended 1+-External,109,2013-14,All Students,Suspended 1+,10.98999977,18.28000069,External,373
109-2013-14-All Students-Suspended 11+-External,109,2013-14,All Students,Suspended 11+,0,0.730000019,External,373
109-2013-14-All Students-Expulsions-External,109,2013-14,All Students,Expulsions,4,78,External,373
109-2013-14-All Students-Expulsion Rate-External,109,2013-14,All Students,Expulsion Rate,1.07,0.45,External,373
109-2013-14-All Students-Total Suspensions-External,109,2013-14,All Students,Total Suspensions,43,3199,External,373
109-2013-14-Black non-Hispanic-Suspended 1+-External,109,2013-14,Black non-Hispanic,Suspended 1+,11.86999989,21.26000023,External,337
109-2013-14-Black non-Hispanic-Suspended 11+-External,109,2013-14,Black non-Hispanic,Suspended 11+,0,0.800000012,External,337
109-2013-14-Female-Suspended 11+-External,109,2013-14,Female,Suspended 11+,0,0.550000012,External,198
109-2013-14-Female-Suspended 1+-External,109,2013-14,Female,Suspended 1+,9.600000381,15.10999966,External,198
109-2013-14-Free or Reduced Lunch-Suspended 11+-External,109,2013-14,Free or Reduced Lunch,Suspended 11+,0,0.870000005,External,373
109-2013-14-Free or Reduced Lunch-Suspended 1+-External,109,2013-14,Free or Reduced Lunch,Suspended 1+,10.98999977,21.11000061,External,373
109-2013-14-Hispanic / Latino-Suspended 11+-External,109,2013-14,Hispanic / Latino,Suspended 11+,0,1.779999971,External,35
109-2013-14-Hispanic / Latino-Suspended 1+-External,109,2013-14,Hispanic / Latino,Suspended 1+,2.859999895,24.48999977,External,35
109-2013-14-Limited English Proficiency-Suspended 11+-External,109,2013-14,Limited English Proficiency,Suspended 11+,0,0.649999976,External,16
109-2013-14-Limited English Proficiency-Suspended 1+-External,109,2013-14,Limited English Proficiency,Suspended 1+,6.25,10.13000011,External,16
109-2013-14-Male-Suspended 1+-External,109,2013-14,Male,Suspended 1+,12.56999969,21.57999992,External,175
109-2013-14-Male-Suspended 11+-External,109,2013-14,Male,Suspended 11+,0,0.910000026,External,175
109-2013-14-Special Education-Suspended 11+-External,109,2013-14,Special Education,Suspended 11+,0,1.279999971,External,45
109-2013-14-Special Education-Suspended 1+-External,109,2013-14,Special Education,Suspended 1+,22.21999931,29.89999962,External,45
113-2013-14-All Students-Expulsion Rate-External,113,2013-14,All Students,Expulsion Rate,0,0.02,External,559
113-2013-14-All Students-Suspended 1+-External,113,2013-14,All Students,Suspended 1+,12.15999985,5.519999981,External,559
113-2013-14-All Students-Expulsions-External,113,2013-14,All Students,Expulsions,0,10,External,559
113-2013-14-All Students-Suspended 11+-External,113,2013-14,All Students,Suspended 11+,0,0.01,External,559
113-2013-14-All Students-Total Suspensions-External,113,2013-14,All Students,Total Suspensions,68,2583,External,559
113-2013-14-Black non-Hispanic-Suspended 11+-External,113,2013-14,Black non-Hispanic,Suspended 11+,0,0.01,External,556
113-2013-14-Black non-Hispanic-Suspended 1+-External,113,2013-14,Black non-Hispanic,Suspended 1+,12.22999954,7.440000057,External,556
113-2013-14-Female-Suspended 1+-External,113,2013-14,Female,Suspended 1+,7.269999981,3.400000095,External,275
113-2013-14-Female-Suspended 11+-External,113,2013-14,Female,Suspended 11+,0,0,External,275
113-2013-14-Free or Reduced Lunch-Suspended 11+-External,113,2013-14,Free or Reduced Lunch,Suspended 11+,0,0.01,External,559
113-2013-14-Free or Reduced Lunch-Suspended 1+-External,113,2013-14,Free or Reduced Lunch,Suspended 1+,12.15999985,6.639999866,External,559
