Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize
101-2013-14-All Students-Suspended 11+-External,101,2013-14,All Students,Suspended 11+,7,1,External,296
101-2013-14-All Students-Suspended 1+-External,101,2013-14,All Students,Suspended 1+,28,19,External,296
101-2013-14-Black non-Hispanic-Suspended 11+-External,101,2013-14,Black non-Hispanic,Suspended 11+,7,1,External,296
101-2013-14-Black non-Hispanic-Suspended 1+-External,101,2013-14,Black non-Hispanic,Suspended 1+,28,22,External,296
101-2013-14-Female-Suspended 1+-External,101,2013-14,Female,Suspended 1+,23,15,External,149
101-2013-14-Female-Suspended 11+-External,101,2013-14,Female,Suspended 11+,5,1,External,149
101-2013-14-Free or Reduced Lunch-Suspended 11+-External,101,2013-14,Free or Reduced Lunch,Suspended 11+,6,1,External,296
101-2013-14-Free or Reduced Lunch-Suspended 1+-External,101,2013-14,Free or Reduced Lunch,Suspended 1+,28,22,External,296
101-2013-14-Male-Suspended 11+-External,101,2013-14,Male,Suspended 11+,9,1,External,147
101-2013-14-Male-Suspended 1+-External,101,2013-14,Male,Suspended 1+,33,22,External,147
101-2013-14-Special Education-Suspended 1+-External,101,2013-14,Special Education,Suspended 1+,34,31,External,95
101-2013-14-Special Education-Suspended 11+-External,101,2013-14,Special Education,Suspended 11+,11,1,External,95
102-2013-14-All Students-Suspended 1+-External,102,2013-14,All Students,Suspended 1+,35,25,External,305
102-2013-14-All Students-Suspended 11+-External,102,2013-14,All Students,Suspended 11+,0,1,External,305
102-2013-14-Black non-Hispanic-Suspended 1+-External,102,2013-14,Black non-Hispanic,Suspended 1+,35,31,External,291
102-2013-14-Black non-Hispanic-Suspended 11+-External,102,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,291
102-2013-14-Female-Suspended 11+-External,102,2013-14,Female,Suspended 11+,0,1,External,161
102-2013-14-Female-Suspended 1+-External,102,2013-14,Female,Suspended 1+,34,21,External,161
102-2013-14-Free or Reduced Lunch-Suspended 1+-External,102,2013-14,Free or Reduced Lunch,Suspended 1+,34,30,External,305
102-2013-14-Free or Reduced Lunch-Suspended 11+-External,102,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,305
102-2013-14-Hispanic / Latino-Suspended 11+-External,102,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,13
102-2013-14-Hispanic / Latino-Suspended 1+-External,102,2013-14,Hispanic / Latino,Suspended 1+,31,26,External,13
102-2013-14-Male-Suspended 1+-External,102,2013-14,Male,Suspended 1+,36,30,External,144
102-2013-14-Male-Suspended 11+-External,102,2013-14,Male,Suspended 11+,0,1,External,144
102-2013-14-Special Education-Suspended 11+-External,102,2013-14,Special Education,Suspended 11+,0,1,External,45
102-2013-14-Special Education-Suspended 1+-External,102,2013-14,Special Education,Suspended 1+,33,34,External,45
104-2013-14-All Students-Suspended 11+-External,104,2013-14,All Students,Suspended 11+,0,0,External,120
104-2013-14-All Students-Suspended 1+-External,104,2013-14,All Students,Suspended 1+,2,11,External,120
104-2013-14-Black non-Hispanic-Suspended 11+-External,104,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,54
104-2013-14-Black non-Hispanic-Suspended 1+-External,104,2013-14,Black non-Hispanic,Suspended 1+,4,14,External,54
104-2013-14-Female-Suspended 1+-External,104,2013-14,Female,Suspended 1+,0,9,External,71
104-2013-14-Female-Suspended 11+-External,104,2013-14,Female,Suspended 11+,0,0,External,71
104-2013-14-Hispanic / Latino-Suspended 1+-External,104,2013-14,Hispanic / Latino,Suspended 1+,0,3,External,57
104-2013-14-Hispanic / Latino-Suspended 11+-External,104,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,57
104-2013-14-Limited English Proficiency-Suspended 1+-External,104,2013-14,Limited English Proficiency,Suspended 1+,0,8,External,15
104-2013-14-Limited English Proficiency-Suspended 11+-External,104,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,15
104-2013-14-Male-Suspended 11+-External,104,2013-14,Male,Suspended 11+,0,1,External,48
104-2013-14-Male-Suspended 1+-External,104,2013-14,Male,Suspended 1+,4,13,External,48
105-2013-14-All Students-Suspended 11+-External,105,2013-14,All Students,Suspended 11+,0,0,External,596
105-2013-14-All Students-Suspended 1+-External,105,2013-14,All Students,Suspended 1+,1,6,External,596
105-2013-14-Black non-Hispanic-Suspended 1+-External,105,2013-14,Black non-Hispanic,Suspended 1+,1,8,External,366
105-2013-14-Black non-Hispanic-Suspended 11+-External,105,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,366
105-2013-14-Female-Suspended 11+-External,105,2013-14,Female,Suspended 11+,0,0,External,299
105-2013-14-Female-Suspended 1+-External,105,2013-14,Female,Suspended 1+,0,3,External,299
105-2013-14-Free or Reduced Lunch-Suspended 11+-External,105,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,595
105-2013-14-Free or Reduced Lunch-Suspended 1+-External,105,2013-14,Free or Reduced Lunch,Suspended 1+,1,7,External,595
105-2013-14-Hispanic / Latino-Suspended 1+-External,105,2013-14,Hispanic / Latino,Suspended 1+,0,4,External,211
105-2013-14-Hispanic / Latino-Suspended 11+-External,105,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,211
105-2013-14-Limited English Proficiency-Suspended 11+-External,105,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,233
105-2013-14-Limited English Proficiency-Suspended 1+-External,105,2013-14,Limited English Proficiency,Suspended 1+,0,2,External,233
105-2013-14-Male-Suspended 11+-External,105,2013-14,Male,Suspended 11+,0,0,External,296
105-2013-14-Male-Suspended 1+-External,105,2013-14,Male,Suspended 1+,1,8,External,296
105-2013-14-Multiracial-Suspended 11+-External,105,2013-14,Multiracial,Suspended 11+,0,0,External,13
105-2013-14-Multiracial-Suspended 1+-External,105,2013-14,Multiracial,Suspended 1+,0,2,External,13
105-2013-14-Special Education-Suspended 1+-External,105,2013-14,Special Education,Suspended 1+,4,11,External,52
105-2013-14-Special Education-Suspended 11+-External,105,2013-14,Special Education,Suspended 11+,0,0,External,52
106-2013-14-All Students-Suspended 1+-External,106,2013-14,All Students,Suspended 1+,3,6,External,264
106-2013-14-All Students-Suspended 11+-External,106,2013-14,All Students,Suspended 11+,0,0,External,264
106-2013-14-Black non-Hispanic-Suspended 11+-External,106,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,193
106-2013-14-Black non-Hispanic-Suspended 1+-External,106,2013-14,Black non-Hispanic,Suspended 1+,3,8,External,193
106-2013-14-Female-Suspended 11+-External,106,2013-14,Female,Suspended 11+,0,0,External,143
106-2013-14-Female-Suspended 1+-External,106,2013-14,Female,Suspended 1+,1,3,External,143
106-2013-14-Free or Reduced Lunch-Suspended 1+-External,106,2013-14,Free or Reduced Lunch,Suspended 1+,3,7,External,264
106-2013-14-Free or Reduced Lunch-Suspended 11+-External,106,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,264
106-2013-14-Hispanic / Latino-Suspended 11+-External,106,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,49
106-2013-14-Hispanic / Latino-Suspended 1+-External,106,2013-14,Hispanic / Latino,Suspended 1+,2,4,External,49
106-2013-14-Limited English Proficiency-Suspended 11+-External,106,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,60
106-2013-14-Limited English Proficiency-Suspended 1+-External,106,2013-14,Limited English Proficiency,Suspended 1+,2,2,External,60
106-2013-14-Male-Suspended 1+-External,106,2013-14,Male,Suspended 1+,6,8,External,121
106-2013-14-Male-Suspended 11+-External,106,2013-14,Male,Suspended 11+,0,0,External,121
106-2013-14-Multiracial-Suspended 1+-External,106,2013-14,Multiracial,Suspended 1+,0,2,External,10
106-2013-14-Multiracial-Suspended 11+-External,106,2013-14,Multiracial,Suspended 11+,0,0,External,10
106-2013-14-Special Education-Suspended 11+-External,106,2013-14,Special Education,Suspended 11+,0,0,External,28
106-2013-14-Special Education-Suspended 1+-External,106,2013-14,Special Education,Suspended 1+,0,11,External,28
108-2013-14-All Students-Suspended 11+-External,108,2013-14,All Students,Suspended 11+,0,0,External,147
108-2013-14-All Students-Suspended 1+-External,108,2013-14,All Students,Suspended 1+,0,12,External,147
108-2013-14-Black non-Hispanic-Suspended 11+-External,108,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,97
108-2013-14-Black non-Hispanic-Suspended 1+-External,108,2013-14,Black non-Hispanic,Suspended 1+,0,16,External,97
108-2013-14-Female-Suspended 11+-External,108,2013-14,Female,Suspended 11+,0,0,External,77
108-2013-14-Female-Suspended 1+-External,108,2013-14,Female,Suspended 1+,0,9,External,77
108-2013-14-Free or Reduced Lunch-Suspended 11+-External,108,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,56
108-2013-14-Free or Reduced Lunch-Suspended 1+-External,108,2013-14,Free or Reduced Lunch,Suspended 1+,0,15,External,56
108-2013-14-Male-Suspended 1+-External,108,2013-14,Male,Suspended 1+,0,16,External,70
108-2013-14-Male-Suspended 11+-External,108,2013-14,Male,Suspended 11+,0,0,External,70
108-2013-14-Special Education-Suspended 11+-External,108,2013-14,Special Education,Suspended 11+,0,1,External,16
108-2013-14-Special Education-Suspended 1+-External,108,2013-14,Special Education,Suspended 1+,0,21,External,16
108-2013-14-White non-Hispanic-Suspended 1+-External,108,2013-14,White non-Hispanic,Suspended 1+,0,1,External,40
108-2013-14-White non-Hispanic-Suspended 11+-External,108,2013-14,White non-Hispanic,Suspended 11+,0,0,External,40
109-2013-14-All Students-Suspended 11+-External,109,2013-14,All Students,Suspended 11+,0,1,External,373
109-2013-14-All Students-Suspended 1+-External,109,2013-14,All Students,Suspended 1+,11,19,External,373
109-2013-14-Black non-Hispanic-Suspended 11+-External,109,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,337
109-2013-14-Black non-Hispanic-Suspended 1+-External,109,2013-14,Black non-Hispanic,Suspended 1+,12,22,External,337
109-2013-14-Female-Suspended 1+-External,109,2013-14,Female,Suspended 1+,10,15,External,198
109-2013-14-Female-Suspended 11+-External,109,2013-14,Female,Suspended 11+,0,1,External,198
109-2013-14-Free or Reduced Lunch-Suspended 11+-External,109,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,373
109-2013-14-Free or Reduced Lunch-Suspended 1+-External,109,2013-14,Free or Reduced Lunch,Suspended 1+,11,22,External,373
