Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize
101-2013-14-All Students-Suspended 1+-External,101,2013-14,All Students,Suspended 1+,28,19,External,296
101-2013-14-All Students-Expulsions-External,101,2013-14,All Students,Expulsions,3,82,External,296
101-2013-14-All Students-Suspended 11+-External,101,2013-14,All Students,Suspended 11+,3,1,External,296
101-2013-14-All Students-Expulsion Rate-External,101,2013-14,All Students,Expulsion Rate,1.01,0.47,External,296
101-2013-14-Black non-Hispanic-Suspended 11+-External,101,2013-14,Black non-Hispanic,Suspended 11+,3,1,External,296
101-2013-14-Black non-Hispanic-Suspended 1+-External,101,2013-14,Black non-Hispanic,Suspended 1+,28,23,External,296
101-2013-14-Female-Suspended 1+-External,101,2013-14,Female,Suspended 1+,23,16,External,149
101-2013-14-Female-Suspended 11+-External,101,2013-14,Female,Suspended 11+,1,1,External,149
101-2013-14-Free or Reduced Lunch-Suspended 11+-External,101,2013-14,Free or Reduced Lunch,Suspended 11+,3,1,External,296
101-2013-14-Free or Reduced Lunch-Suspended 1+-External,101,2013-14,Free or Reduced Lunch,Suspended 1+,28,22,External,296
101-2013-14-Male-Suspended 1+-External,101,2013-14,Male,Suspended 1+,33,23,External,147
101-2013-14-Male-Suspended 11+-External,101,2013-14,Male,Suspended 11+,4,1,External,147
101-2013-14-Special Education-Suspended 11+-External,101,2013-14,Special Education,Suspended 11+,4,1,External,95
101-2013-14-Special Education-Suspended 1+-External,101,2013-14,Special Education,Suspended 1+,34,32,External,95
102-2013-14-All Students-Expulsion Rate-External,102,2013-14,All Students,Expulsion Rate,1.97,0.31,External,305
102-2013-14-All Students-Suspended 1+-External,102,2013-14,All Students,Suspended 1+,35,26,External,305
102-2013-14-All Students-Suspended 11+-External,102,2013-14,All Students,Suspended 11+,0,1,External,305
102-2013-14-All Students-Expulsions-External,102,2013-14,All Students,Expulsions,6,42,External,305
102-2013-14-Black non-Hispanic-Suspended 1+-External,102,2013-14,Black non-Hispanic,Suspended 1+,35,32,External,291
102-2013-14-Black non-Hispanic-Suspended 11+-External,102,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,291
102-2013-14-Female-Suspended 11+-External,102,2013-14,Female,Suspended 11+,0,1,External,161
102-2013-14-Female-Suspended 1+-External,102,2013-14,Female,Suspended 1+,33,21,External,161
102-2013-14-Free or Reduced Lunch-Suspended 11+-External,102,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,305
102-2013-14-Free or Reduced Lunch-Suspended 1+-External,102,2013-14,Free or Reduced Lunch,Suspended 1+,35,30,External,305
102-2013-14-Hispanic / Latino-Suspended 11+-External,102,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,13
102-2013-14-Hispanic / Latino-Suspended 1+-External,102,2013-14,Hispanic / Latino,Suspended 1+,31,27,External,13
102-2013-14-Male-Suspended 1+-External,102,2013-14,Male,Suspended 1+,37,31,External,144
102-2013-14-Male-Suspended 11+-External,102,2013-14,Male,Suspended 11+,0,1,External,144
102-2013-14-Special Education-Suspended 1+-External,102,2013-14,Special Education,Suspended 1+,33,35,External,45
102-2013-14-Special Education-Suspended 11+-External,102,2013-14,Special Education,Suspended 11+,0,1,External,45
104-2013-14-All Students-Suspended 1+-External,104,2013-14,All Students,Suspended 1+,2,11,External,117
104-2013-14-All Students-Expulsion Rate-External,104,2013-14,All Students,Expulsion Rate,1.71,0.31,External,117
104-2013-14-All Students-Suspended 11+-External,104,2013-14,All Students,Suspended 11+,0,0,External,117
104-2013-14-All Students-Expulsions-External,104,2013-14,All Students,Expulsions,2,51,External,117
104-2013-14-Black non-Hispanic-Suspended 11+-External,104,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,53
104-2013-14-Black non-Hispanic-Suspended 1+-External,104,2013-14,Black non-Hispanic,Suspended 1+,4,15,External,53
104-2013-14-Female-Suspended 11+-External,104,2013-14,Female,Suspended 11+,0,0,External,69
104-2013-14-Female-Suspended 1+-External,104,2013-14,Female,Suspended 1+,0,9,External,69
104-2013-14-Hispanic / Latino-Suspended 1+-External,104,2013-14,Hispanic / Latino,Suspended 1+,0,4,External,56
104-2013-14-Hispanic / Latino-Suspended 11+-External,104,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,56
104-2013-14-Limited English Proficiency-Suspended 11+-External,104,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,15
104-2013-14-Limited English Proficiency-Suspended 1+-External,104,2013-14,Limited English Proficiency,Suspended 1+,0,9,External,15
104-2013-14-Male-Suspended 1+-External,104,2013-14,Male,Suspended 1+,4,14,External,48
104-2013-14-Male-Suspended 11+-External,104,2013-14,Male,Suspended 11+,0,0,External,48
105-2013-14-All Students-Expulsions-External,105,2013-14,All Students,Expulsions,0,11,External,595
105-2013-14-All Students-Suspended 11+-External,105,2013-14,All Students,Suspended 11+,0,0,External,595
105-2013-14-All Students-Expulsion Rate-External,105,2013-14,All Students,Expulsion Rate,0,0.02,External,595
105-2013-14-All Students-Suspended 1+-External,105,2013-14,All Students,Suspended 1+,1,6,External,595
105-2013-14-Black non-Hispanic-Suspended 11+-External,105,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,366
105-2013-14-Black non-Hispanic-Suspended 1+-External,105,2013-14,Black non-Hispanic,Suspended 1+,1,8,External,366
105-2013-14-Female-Suspended 11+-External,105,2013-14,Female,Suspended 11+,0,0,External,299
105-2013-14-Female-Suspended 1+-External,105,2013-14,Female,Suspended 1+,0,3,External,299
105-2013-14-Free or Reduced Lunch-Suspended 11+-External,105,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,595
105-2013-14-Free or Reduced Lunch-Suspended 1+-External,105,2013-14,Free or Reduced Lunch,Suspended 1+,1,7,External,595
105-2013-14-Hispanic / Latino-Suspended 11+-External,105,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,211
105-2013-14-Hispanic / Latino-Suspended 1+-External,105,2013-14,Hispanic / Latino,Suspended 1+,0,4,External,211
105-2013-14-Limited English Proficiency-Suspended 1+-External,105,2013-14,Limited English Proficiency,Suspended 1+,0,2,External,232
105-2013-14-Limited English Proficiency-Suspended 11+-External,105,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,232
105-2013-14-Male-Suspended 1+-External,105,2013-14,Male,Suspended 1+,1,8,External,296
105-2013-14-Male-Suspended 11+-External,105,2013-14,Male,Suspended 11+,0,0,External,296
105-2013-14-Multiracial-Suspended 11+-External,105,2013-14,Multiracial,Suspended 11+,0,0,External,13
105-2013-14-Multiracial-Suspended 1+-External,105,2013-14,Multiracial,Suspended 1+,0,2,External,13
105-2013-14-Special Education-Suspended 1+-External,105,2013-14,Special Education,Suspended 1+,4,11,External,52
105-2013-14-Special Education-Suspended 11+-External,105,2013-14,Special Education,Suspended 11+,0,0,External,52
106-2013-14-All Students-Expulsions-External,106,2013-14,All Students,Expulsions,0,11,External,264
106-2013-14-All Students-Suspended 1+-External,106,2013-14,All Students,Suspended 1+,3,6,External,264
106-2013-14-All Students-Expulsion Rate-External,106,2013-14,All Students,Expulsion Rate,0,0.02,External,264
106-2013-14-All Students-Suspended 11+-External,106,2013-14,All Students,Suspended 11+,0,0,External,264
106-2013-14-Black non-Hispanic-Suspended 1+-External,106,2013-14,Black non-Hispanic,Suspended 1+,3,8,External,193
106-2013-14-Black non-Hispanic-Suspended 11+-External,106,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,193
106-2013-14-Female-Suspended 11+-External,106,2013-14,Female,Suspended 11+,0,0,External,143
106-2013-14-Female-Suspended 1+-External,106,2013-14,Female,Suspended 1+,0,3,External,143
106-2013-14-Free or Reduced Lunch-Suspended 1+-External,106,2013-14,Free or Reduced Lunch,Suspended 1+,3,7,External,264
106-2013-14-Free or Reduced Lunch-Suspended 11+-External,106,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,264
106-2013-14-Hispanic / Latino-Suspended 1+-External,106,2013-14,Hispanic / Latino,Suspended 1+,2,4,External,49
106-2013-14-Hispanic / Latino-Suspended 11+-External,106,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,49
106-2013-14-Limited English Proficiency-Suspended 1+-External,106,2013-14,Limited English Proficiency,Suspended 1+,2,2,External,60
106-2013-14-Limited English Proficiency-Suspended 11+-External,106,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,60
106-2013-14-Male-Suspended 1+-External,106,2013-14,Male,Suspended 1+,7,8,External,121
106-2013-14-Male-Suspended 11+-External,106,2013-14,Male,Suspended 11+,0,0,External,121
106-2013-14-Multiracial-Suspended 1+-External,106,2013-14,Multiracial,Suspended 1+,0,2,External,10
106-2013-14-Multiracial-Suspended 11+-External,106,2013-14,Multiracial,Suspended 11+,0,0,External,10
106-2013-14-Special Education-Suspended 11+-External,106,2013-14,Special Education,Suspended 11+,0,0,External,28
106-2013-14-Special Education-Suspended 1+-External,106,2013-14,Special Education,Suspended 1+,0,11,External,28
108-2013-14-All Students-Expulsion Rate-External,108,2013-14,All Students,Expulsion Rate,0,0.11,External,145
108-2013-14-All Students-Suspended 1+-External,108,2013-14,All Students,Suspended 1+,0,12,External,145
108-2013-14-All Students-Suspended 11+-External,108,2013-14,All Students,Suspended 11+,0,0,External,145
108-2013-14-All Students-Expulsions-External,108,2013-14,All Students,Expulsions,0,53,External,145
108-2013-14-Black non-Hispanic-Suspended 11+-External,108,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,97
108-2013-14-Black non-Hispanic-Suspended 1+-External,108,2013-14,Black non-Hispanic,Suspended 1+,0,16,External,97
108-2013-14-Female-Suspended 11+-External,108,2013-14,Female,Suspended 11+,0,0,External,77
108-2013-14-Female-Suspended 1+-External,108,2013-14,Female,Suspended 1+,0,9,External,77
108-2013-14-Free or Reduced Lunch-Suspended 11+-External,108,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,56
108-2013-14-Free or Reduced Lunch-Suspended 1+-External,108,2013-14,Free or Reduced Lunch,Suspended 1+,0,15,External,56
108-2013-14-Male-Suspended 1+-External,108,2013-14,Male,Suspended 1+,0,16,External,68
108-2013-14-Male-Suspended 11+-External,108,2013-14,Male,Suspended 11+,0,0,External,68
108-2013-14-Special Education-Suspended 1+-External,108,2013-14,Special Education,Suspended 1+,0,21,External,16
108-2013-14-Special Education-Suspended 11+-External,108,2013-14,Special Education,Suspended 11+,0,0,External,16
108-2013-14-White non-Hispanic-Suspended 1+-External,108,2013-14,White non-Hispanic,Suspended 1+,0,1,External,38
108-2013-14-White non-Hispanic-Suspended 11+-External,108,2013-14,White non-Hispanic,Suspended 11+,0,0,External,38
109-2013-14-All Students-Suspended 1+-External,109,2013-14,All Students,Suspended 1+,12,19,External,373
109-2013-14-All Students-Expulsions-External,109,2013-14,All Students,Expulsions,4,82,External,373
109-2013-14-All Students-Suspended 11+-External,109,2013-14,All Students,Suspended 11+,0,1,External,373
109-2013-14-All Students-Expulsion Rate-External,109,2013-14,All Students,Expulsion Rate,1.07,0.47,External,373
109-2013-14-Black non-Hispanic-Suspended 1+-External,109,2013-14,Black non-Hispanic,Suspended 1+,12,23,External,337
109-2013-14-Black non-Hispanic-Suspended 11+-External,109,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,337
109-2013-14-Female-Suspended 11+-External,109,2013-14,Female,Suspended 11+,0,1,External,198
109-2013-14-Female-Suspended 1+-External,109,2013-14,Female,Suspended 1+,10,16,External,198
109-2013-14-Free or Reduced Lunch-Suspended 1+-External,109,2013-14,Free or Reduced Lunch,Suspended 1+,12,22,External,373
109-2013-14-Free or Reduced Lunch-Suspended 11+-External,109,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,373
109-2013-14-Hispanic / Latino-Suspended 1+-External,109,2013-14,Hispanic / Latino,Suspended 1+,3,27,External,35
109-2013-14-Hispanic / Latino-Suspended 11+-External,109,2013-14,Hispanic / Latino,Suspended 11+,0,2,External,35
109-2013-14-Limited English Proficiency-Suspended 1+-External,109,2013-14,Limited English Proficiency,Suspended 1+,6,12,External,16
109-2013-14-Limited English Proficiency-Suspended 11+-External,109,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,16
109-2013-14-Male-Suspended 11+-External,109,2013-14,Male,Suspended 11+,0,1,External,175
109-2013-14-Male-Suspended 1+-External,109,2013-14,Male,Suspended 1+,13,23,External,175
109-2013-14-Special Education-Suspended 11+-External,109,2013-14,Special Education,Suspended 11+,0,1,External,45
109-2013-14-Special Education-Suspended 1+-External,109,2013-14,Special Education,Suspended 1+,24,32,External,45
113-2013-14-All Students-Expulsions-External,113,2013-14,All Students,Expulsions,0,11,External,559
113-2013-14-All Students-Expulsion Rate-External,113,2013-14,All Students,Expulsion Rate,0,0.02,External,559
113-2013-14-All Students-Suspended 1+-External,113,2013-14,All Students,Suspended 1+,12,6,External,559
113-2013-14-All Students-Suspended 11+-External,113,2013-14,All Students,Suspended 11+,0,0,External,559
113-2013-14-Black non-Hispanic-Suspended 1+-External,113,2013-14,Black non-Hispanic,Suspended 1+,12,8,External,556
113-2013-14-Black non-Hispanic-Suspended 11+-External,113,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,556
113-2013-14-Female-Suspended 11+-External,113,2013-14,Female,Suspended 11+,0,0,External,275
113-2013-14-Female-Suspended 1+-External,113,2013-14,Female,Suspended 1+,7,3,External,275
113-2013-14-Free or Reduced Lunch-Suspended 1+-External,113,2013-14,Free or Reduced Lunch,Suspended 1+,12,7,External,559
113-2013-14-Free or Reduced Lunch-Suspended 11+-External,113,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,559
113-2013-14-Male-Suspended 11+-External,113,2013-14,Male,Suspended 11+,0,0,External,284
113-2013-14-Male-Suspended 1+-External,113,2013-14,Male,Suspended 1+,17,8,External,284
113-2013-14-Special Education-Suspended 1+-External,113,2013-14,Special Education,Suspended 1+,33,11,External,58
113-2013-14-Special Education-Suspended 11+-External,113,2013-14,Special Education,Suspended 11+,0,0,External,58
114-2013-14-All Students-Suspended 11+-External,114,2013-14,All Students,Suspended 11+,0,0,External,448
114-2013-14-All Students-Suspended 1+-External,114,2013-14,All Students,Suspended 1+,1,10,External,448
114-2013-14-All Students-Expulsions-External,114,2013-14,All Students,Expulsions,0,53,External,448
114-2013-14-All Students-Expulsion Rate-External,114,2013-14,All Students,Expulsion Rate,0,0.09,External,448
114-2013-14-Black non-Hispanic-Suspended 1+-External,114,2013-14,Black non-Hispanic,Suspended 1+,1,13,External,426
114-2013-14-Black non-Hispanic-Suspended 11+-External,114,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,426
114-2013-14-Female-Suspended 1+-External,114,2013-14,Female,Suspended 1+,0,7,External,223
114-2013-14-Female-Suspended 11+-External,114,2013-14,Female,Suspended 11+,0,0,External,223
114-2013-14-Free or Reduced Lunch-Suspended 1+-External,114,2013-14,Free or Reduced Lunch,Suspended 1+,1,12,External,364
114-2013-14-Free or Reduced Lunch-Suspended 11+-External,114,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,364
114-2013-14-Hispanic / Latino-Suspended 1+-External,114,2013-14,Hispanic / Latino,Suspended 1+,0,10,External,20
114-2013-14-Hispanic / Latino-Suspended 11+-External,114,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,20
114-2013-14-Limited English Proficiency-Suspended 11+-External,114,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,22
114-2013-14-Limited English Proficiency-Suspended 1+-External,114,2013-14,Limited English Proficiency,Suspended 1+,0,4,External,22
114-2013-14-Male-Suspended 1+-External,114,2013-14,Male,Suspended 1+,1,13,External,225
114-2013-14-Male-Suspended 11+-External,114,2013-14,Male,Suspended 11+,0,0,External,225
114-2013-14-Special Education-Suspended 11+-External,114,2013-14,Special Education,Suspended 11+,0,0,External,41
114-2013-14-Special Education-Suspended 1+-External,114,2013-14,Special Education,Suspended 1+,5,19,External,41
115-2013-14-All Students-Expulsions-External,115,2013-14,All Students,Expulsions,0,42,External,317
115-2013-14-All Students-Suspended 11+-External,115,2013-14,All Students,Suspended 11+,0,1,External,317
115-2013-14-All Students-Suspended 1+-External,115,2013-14,All Students,Suspended 1+,35,26,External,317
115-2013-14-All Students-Expulsion Rate-External,115,2013-14,All Students,Expulsion Rate,0,0.31,External,317
115-2013-14-Black non-Hispanic-Suspended 11+-External,115,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,303
115-2013-14-Black non-Hispanic-Suspended 1+-External,115,2013-14,Black non-Hispanic,Suspended 1+,36,32,External,303
115-2013-14-Female-Suspended 11+-External,115,2013-14,Female,Suspended 11+,0,1,External,171
115-2013-14-Female-Suspended 1+-External,115,2013-14,Female,Suspended 1+,30,21,External,171
115-2013-14-Free or Reduced Lunch-Suspended 11+-External,115,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,210
115-2013-14-Free or Reduced Lunch-Suspended 1+-External,115,2013-14,Free or Reduced Lunch,Suspended 1+,40,30,External,210
115-2013-14-Hispanic / Latino-Suspended 1+-External,115,2013-14,Hispanic / Latino,Suspended 1+,20,27,External,10
115-2013-14-Hispanic / Latino-Suspended 11+-External,115,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,10
115-2013-14-Limited English Proficiency-Suspended 11+-External,115,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,15
115-2013-14-Limited English Proficiency-Suspended 1+-External,115,2013-14,Limited English Proficiency,Suspended 1+,33,20,External,15
115-2013-14-Male-Suspended 1+-External,115,2013-14,Male,Suspended 1+,42,31,External,146
115-2013-14-Male-Suspended 11+-External,115,2013-14,Male,Suspended 11+,0,1,External,146
115-2013-14-Special Education-Suspended 1+-External,115,2013-14,Special Education,Suspended 1+,65,35,External,20
115-2013-14-Special Education-Suspended 11+-External,115,2013-14,Special Education,Suspended 11+,0,1,External,20
116-2013-14-All Students-Suspended 1+-External,116,2013-14,All Students,Suspended 1+,29,22,External,338
116-2013-14-All Students-Suspended 11+-External,116,2013-14,All Students,Suspended 11+,0,1,External,338
116-2013-14-All Students-Expulsion Rate-External,116,2013-14,All Students,Expulsion Rate,3.25,0.24,External,338
116-2013-14-All Students-Expulsions-External,116,2013-14,All Students,Expulsions,11,43,External,338
116-2013-14-Black non-Hispanic-Suspended 11+-External,116,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,325
116-2013-14-Black non-Hispanic-Suspended 1+-External,116,2013-14,Black non-Hispanic,Suspended 1+,29,28,External,325
116-2013-14-Female-Suspended 1+-External,116,2013-14,Female,Suspended 1+,26,18,External,179
116-2013-14-Female-Suspended 11+-External,116,2013-14,Female,Suspended 11+,0,1,External,179
116-2013-14-Free or Reduced Lunch-Suspended 11+-External,116,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,294
116-2013-14-Free or Reduced Lunch-Suspended 1+-External,116,2013-14,Free or Reduced Lunch,Suspended 1+,31,26,External,294
116-2013-14-Hispanic / Latino-Suspended 1+-External,116,2013-14,Hispanic / Latino,Suspended 1+,38,23,External,13
116-2013-14-Hispanic / Latino-Suspended 11+-External,116,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,13
116-2013-14-Male-Suspended 1+-External,116,2013-14,Male,Suspended 1+,33,27,External,159
116-2013-14-Male-Suspended 11+-External,116,2013-14,Male,Suspended 11+,0,1,External,159
116-2013-14-Special Education-Suspended 11+-External,116,2013-14,Special Education,Suspended 11+,0,1,External,71
116-2013-14-Special Education-Suspended 1+-External,116,2013-14,Special Education,Suspended 1+,41,31,External,71
117-2013-14-All Students-Suspended 11+-External,117,2013-14,All Students,Suspended 11+,0,0,External,423
117-2013-14-All Students-Suspended 1+-External,117,2013-14,All Students,Suspended 1+,14,10,External,423
117-2013-14-All Students-Expulsion Rate-External,117,2013-14,All Students,Expulsion Rate,0.24,0.09,External,423
117-2013-14-All Students-Expulsions-External,117,2013-14,All Students,Expulsions,1,53,External,423
117-2013-14-Black non-Hispanic-Suspended 11+-External,117,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,413
117-2013-14-Black non-Hispanic-Suspended 1+-External,117,2013-14,Black non-Hispanic,Suspended 1+,15,13,External,413
117-2013-14-Female-Suspended 11+-External,117,2013-14,Female,Suspended 11+,0,0,External,207
117-2013-14-Female-Suspended 1+-External,117,2013-14,Female,Suspended 1+,10,7,External,207
