school_Code,subgroup,pcsb_enroll,total_enroll,Pct
101,SPED,95,296,0.321
101,Male,147,296,0.497
101,Female,149,296,0.503
101,BL7,296,296,1
101,Economy,296,296,1
102,WH7,1,305,0.003
102,LEP,7,305,0.023
102,HI7,13,305,0.043
102,SPED,45,305,0.148
102,Male,144,305,0.472
102,Female,161,305,0.528
102,BL7,291,305,0.954
102,Economy,305,305,1
104,Economy,2,120,0.017
104,SPED,4,120,0.033
104,MU7,4,120,0.033
104,AS7,4,120,0.033
104,LEP,15,120,0.125
104,Male,48,120,0.4
104,BL7,54,120,0.45
104,HI7,57,120,0.475
104,Female,71,120,0.592
105,AS7,2,596,0.003
105,WH7,3,596,0.005
105,MU7,13,596,0.022
105,SPED,52,596,0.087
105,HI7,211,596,0.354
105,LEP,233,596,0.391
105,Male,296,596,0.497
105,Female,299,596,0.502
105,BL7,366,596,0.614
105,Economy,595,596,0.998
106,AM7,1,264,0.004
106,WH7,5,264,0.019
106,AS7,6,264,0.023
106,MU7,10,264,0.038
106,SPED,28,264,0.106
106,HI7,49,264,0.186
106,LEP,60,264,0.227
106,Male,121,264,0.458
106,Female,143,264,0.542
106,BL7,193,264,0.731
106,Economy,264,264,1
108,AM7,1,147,0.007
108,HI7,4,147,0.027
108,MU7,5,147,0.034
108,SPED,16,147,0.109
108,WH7,40,147,0.272
108,Economy,56,147,0.381
108,Male,70,147,0.476
108,Female,77,147,0.524
108,BL7,97,147,0.66
109,WH7,1,373,0.003
109,LEP,16,373,0.043
109,HI7,35,373,0.094
109,SPED,45,373,0.121
109,Male,175,373,0.469
109,Female,198,373,0.531
109,BL7,337,373,0.903
109,Economy,373,373,1
113,PI7,1,559,0.002
113,WH7,1,559,0.002
113,HI7,1,559,0.002
113,SPED,58,559,0.104
113,Female,275,559,0.492
113,Male,284,559,0.508
113,BL7,556,559,0.995
113,Economy,559,559,1
114,WH7,1,451,0.002
114,AS7,1,451,0.002
114,HI7,20,451,0.044
114,LEP,23,451,0.051
114,SPED,41,451,0.091
114,Female,225,451,0.499
114,Male,226,451,0.501
114,Economy,365,451,0.809
114,BL7,429,451,0.951
115,AM7,1,318,0.003
115,MU7,3,318,0.009
115,HI7,10,318,0.031
115,LEP,15,318,0.047
115,SPED,20,318,0.063
115,Male,147,318,0.462
115,Female,171,318,0.538
115,Economy,211,318,0.664
115,BL7,304,318,0.956
116,HI7,13,338,0.038
116,SPED,71,338,0.21
116,Male,159,338,0.47
116,Female,179,338,0.53
116,Economy,294,338,0.87
116,BL7,325,338,0.962
117,AS7,1,423,0.002
117,LEP,1,423,0.002
117,HI7,3,423,0.007
117,SPED,27,423,0.064
117,Male,207,423,0.489
117,Female,207,423,0.489
117,BL7,413,423,0.976
117,Economy,423,423,1
121,MU7,2,388,0.005
121,AS7,3,388,0.008
121,LEP,4,388,0.01
121,HI7,12,388,0.031
121,SPED,75,388,0.193
121,Female,193,388,0.497
121,Male,195,388,0.503
121,Economy,298,388,0.768
121,BL7,371,388,0.956
125,AM7,1,366,0.003
125,MU7,11,366,0.03
125,AS7,14,366,0.038
125,HI7,25,366,0.068
125,SPED,26,366,0.071
125,Economy,82,366,0.224
125,WH7,154,366,0.421
125,BL7,161,366,0.44
125,Female,181,366,0.495
125,Male,185,366,0.505
126,SPED,3,478,0.006
126,WH7,3,478,0.006
126,AS7,14,478,0.029
126,Male,48,478,0.1
126,LEP,49,478,0.103
126,BL7,78,478,0.163
126,HI7,383,478,0.801
126,Female,430,478,0.9
126,Economy,478,478,1
127,AS7,3,322,0.009
127,SPED,39,322,0.121
127,BL7,79,322,0.245
127,LEP,88,322,0.273
127,Female,161,322,0.5
127,Male,161,322,0.5
127,HI7,240,322,0.745
127,Economy,322,322,1
128,SPED,8,116,0.069
128,LEP,29,116,0.25
128,HI7,45,116,0.388
128,Female,56,116,0.483
128,Male,58,116,0.5
128,BL7,71,116,0.612
128,Economy,116,116,1
130,AM7,2,426,0.005
130,WH7,2,426,0.005
130,MU7,10,426,0.023
130,LEP,14,426,0.033
130,SPED,30,426,0.07
130,HI7,31,426,0.073
130,Female,212,426,0.498
130,Male,214,426,0.502
130,Economy,345,426,0.81
130,BL7,381,426,0.894
131,PI7,1,380,0.003
131,WH7,1,380,0.003
131,SPED,25,380,0.066
131,LEP,34,380,0.089
131,HI7,42,380,0.111
131,Female,187,380,0.492
131,Male,192,380,0.505
131,Economy,300,380,0.789
131,BL7,335,380,0.882
132,LEP,2,303,0.007
132,MU7,2,303,0.007
132,HI7,3,303,0.01
132,SPED,23,303,0.076
132,Female,139,303,0.459
132,Male,164,303,0.541
132,Economy,270,303,0.891
132,BL7,298,303,0.983
133,SPED,42,153,0.275
133,Female,71,153,0.464
133,Male,82,153,0.536
133,Economy,152,153,0.993
133,BL7,153,153,1
134,LEP,8,280,0.029
134,HI7,11,280,0.039
134,SPED,29,280,0.104
134,Male,135,280,0.482
134,Female,144,280,0.514
134,Economy,214,280,0.764
134,BL7,268,280,0.957
135,WH7,9,373,0.024
135,HI7,16,373,0.043
135,LEP,21,373,0.056
135,SPED,42,373,0.113
135,Female,183,373,0.491
135,Male,190,373,0.509
135,BL7,348,373,0.933
135,Economy,373,373,1
137,SPED,25,149,0.168
137,Female,63,149,0.423
137,Male,85,149,0.57
137,Economy,147,149,0.987
137,BL7,148,149,0.993
138,HI7,2,263,0.008
138,SPED,27,263,0.103
138,Male,130,263,0.494
138,Female,133,263,0.506
138,BL7,261,263,0.992
138,Economy,263,263,1
140,AM7,1,161,0.006
140,PI7,1,161,0.006
140,AS7,8,161,0.05
140,SPED,10,161,0.062
140,WH7,24,161,0.149
140,HI7,35,161,0.217
140,LEP,38,161,0.236
140,Male,76,161,0.472
140,Female,84,161,0.522
140,BL7,90,161,0.559
140,Economy,159,161,0.988
141,AS7,1,79,0.013
141,AM7,2,79,0.025
141,SPED,4,79,0.051
141,LEP,5,79,0.063
141,HI7,5,79,0.063
141,WH7,10,79,0.127
141,Female,28,79,0.354
141,Male,50,79,0.633
141,BL7,60,79,0.759
141,Economy,74,79,0.937
142,AM7,1,211,0.005
142,MU7,4,211,0.019
142,AS7,6,211,0.028
142,WH7,32,211,0.152
142,SPED,60,211,0.284
142,HI7,71,211,0.336
142,LEP,78,211,0.37
142,BL7,97,211,0.46
142,Female,98,211,0.464
142,Male,113,211,0.536
142,Economy,133,211,0.63
146,AM7,1,353,0.003
146,AS7,9,353,0.025
146,MU7,17,353,0.048
146,WH7,20,353,0.057
146,LEP,67,353,0.19
146,SPED,73,353,0.207
146,HI7,145,353,0.411
146,Female,160,353,0.453
146,BL7,161,353,0.456
146,Male,193,353,0.547
146,Economy,262,353,0.742
151,WH7,1,522,0.002
151,LEP,9,522,0.017
151,HI7,17,522,0.033
151,SPED,55,522,0.105
151,Female,166,522,0.318
151,Male,356,522,0.682
151,Economy,455,522,0.872
151,BL7,504,522,0.966
153,MU7,1,389,0.003
153,LEP,16,389,0.041
153,SPED,62,389,0.159
153,HI7,71,389,0.183
153,Male,178,389,0.458
153,Female,211,389,0.542
153,BL7,317,389,0.815
153,Economy,389,389,1
158,AS7,2,288,0.007
158,WH7,4,288,0.014
158,MU7,8,288,0.028
158,SPED,14,288,0.049
158,LEP,89,288,0.309
158,HI7,91,288,0.316
158,Female,139,288,0.483
158,Male,149,288,0.517
158,BL7,183,288,0.635
158,Economy,287,288,0.997
159,AS7,1,348,0.003
159,AM7,1,348,0.003
159,MU7,12,348,0.034
159,SPED,37,348,0.106
159,WH7,46,348,0.132
159,LEP,73,348,0.21
159,HI7,118,348,0.339
159,Male,167,348,0.48
159,BL7,170,348,0.489
159,Female,181,348,0.52
159,Economy,249,348,0.716
160,HI7,11,182,0.06
160,LEP,12,182,0.066
160,SPED,58,182,0.319
160,Male,65,182,0.357
160,Female,117,182,0.643
160,BL7,171,182,0.94
160,Economy,182,182,1
161,AS7,1,815,0.001
161,MU7,2,815,0.002
161,AM7,2,815,0.002
161,HI7,18,815,0.022
161,LEP,20,815,0.025
161,SPED,124,815,0.152
161,Female,382,815,0.469
161,Male,431,815,0.529
161,Economy,434,815,0.533
161,BL7,790,815,0.969
163,SPED,42,199,0.211
163,Male,92,199,0.462
163,Female,107,199,0.538
163,Economy,198,199,0.995
163,BL7,198,199,0.995
165,AM7,1,588,0.002
165,AS7,5,588,0.009
165,WH7,8,588,0.014
165,SPED,85,588,0.145
165,LEP,161,588,0.274
165,HI7,214,588,0.364
165,Male,284,588,0.483
165,Female,304,588,0.517
165,BL7,359,588,0.611
165,Economy,588,588,1
168,AS7,4,316,0.013
168,SPED,17,316,0.054
168,BL7,38,316,0.12
168,Female,128,316,0.405
168,LEP,169,316,0.535
168,Male,187,316,0.592
168,HI7,273,316,0.864
168,Economy,281,316,0.889
169,Female,168,376,0.447
169,Male,208,376,0.553
169,SPED,245,376,0.652
169,BL7,376,376,1
169,Economy,376,376,1
170,WH7,1,416,0.002
170,AS7,3,416,0.007
170,LEP,19,416,0.046
170,SPED,56,416,0.135
170,HI7,57,416,0.137
170,Female,182,416,0.438
170,Economy,185,416,0.445
170,Male,234,416,0.563
170,BL7,355,416,0.853
173,SPED,3,118,0.025
173,Male,49,118,0.415
173,Female,69,118,0.585
173,Economy,105,118,0.89
173,BL7,118,118,1
174,HI7,2,342,0.006
174,SPED,51,342,0.149
174,Male,166,342,0.485
174,Female,176,342,0.515
174,Economy,277,342,0.81
174,BL7,340,342,0.994
178,AM7,1,333,0.003
178,WH7,2,333,0.006
178,HI7,3,333,0.009
178,SPED,51,333,0.153
178,Male,163,333,0.489
178,Female,170,333,0.511
178,BL7,327,333,0.982
178,Economy,333,333,1
181,MU7,1,618,0.002
181,LEP,4,618,0.006
181,HI7,7,618,0.011
181,SPED,72,618,0.117
181,Male,297,618,0.481
181,Female,321,618,0.519
181,BL7,610,618,0.987
181,Economy,617,618,0.998
182,PI7,1,326,0.003
182,MU7,11,326,0.034
182,AS7,12,326,0.037
182,WH7,24,326,0.074
182,LEP,61,326,0.187
182,SPED,63,326,0.193
182,BL7,127,326,0.39
182,HI7,151,326,0.463
182,Female,161,326,0.494
182,Male,165,326,0.506
182,Economy,249,326,0.764
183,HI7,1,311,0.003
183,LEP,3,311,0.01
183,SPED,30,311,0.096
183,Female,155,311,0.498
183,Male,156,311,0.502
183,BL7,310,311,0.997
183,Economy,311,311,1
184,AS7,5,321,0.016
184,SPED,22,321,0.069
184,MU7,26,321,0.081
184,WH7,65,321,0.202
184,LEP,92,321,0.287
184,BL7,112,321,0.349
184,HI7,113,321,0.352
184,Female,158,321,0.492
184,Male,163,321,0.508
184,Economy,185,321,0.576
186,HI7,1,914,0.001
186,SPED,152,914,0.166
186,Female,438,914,0.479
186,Male,476,914,0.521
186,BL7,913,914,0.999
186,Economy,914,914,1
187,MU7,1,160,0.006
187,SPED,32,160,0.2
187,Female,79,160,0.494
187,Male,81,160,0.506
187,Economy,159,160,0.994
187,BL7,159,160,0.994
188,SPED,9,322,0.028
188,Female,145,322,0.45
188,Male,177,322,0.55
188,BL7,322,322,1
188,Economy,322,322,1
189,HI7,4,334,0.012
189,SPED,38,334,0.114
189,Male,145,334,0.434
189,Female,189,334,0.566
189,Economy,265,334,0.793
189,BL7,330,334,0.988
190,LEP,1,215,0.005
190,AS7,2,215,0.009
190,MU7,2,215,0.009
190,HI7,5,215,0.023
190,SPED,17,215,0.079
190,Male,100,215,0.465
190,Female,115,215,0.535
190,Economy,153,215,0.712
190,BL7,205,215,0.953
191,HI7,1,399,0.003
191,SPED,47,399,0.118
191,Male,153,399,0.383
191,Female,246,399,0.617
191,Economy,281,399,0.704
191,BL7,398,399,0.997
193,AS7,2,320,0.006
193,MU7,14,320,0.044
193,SPED,32,320,0.1
193,BL7,69,320,0.216
193,WH7,76,320,0.238
193,Economy,86,320,0.269
193,LEP,112,320,0.35
193,Female,156,320,0.488
193,HI7,159,320,0.497
193,Male,164,320,0.513
195,AM7,1,749,0.001
195,LEP,3,749,0.004
195,WH7,7,749,0.009
195,HI7,8,749,0.011
195,SPED,86,749,0.115
195,Female,343,749,0.458
195,Male,404,749,0.539
195,Economy,604,749,0.806
195,BL7,731,749,0.976
196,AS7,2,288,0.007
196,MU7,11,288,0.038
196,HI7,12,288,0.042
196,SPED,43,288,0.149
196,Female,142,288,0.493
196,Male,146,288,0.507
196,Economy,224,288,0.778
196,BL7,263,288,0.913
197,SPED,3,73,0.041
197,LEP,4,73,0.055
197,Economy,5,73,0.068
197,HI7,6,73,0.082
197,WH7,23,73,0.315
197,Male,33,73,0.452
197,Female,40,73,0.548
197,BL7,44,73,0.603
198,PI7,1,516,0.002
198,AS7,4,516,0.008
198,MU7,4,516,0.008
198,LEP,26,516,0.05
198,HI7,45,516,0.087
198,SPED,113,516,0.219
198,WH7,133,516,0.258
198,Economy,252,516,0.488
198,Female,255,516,0.494
198,Male,261,516,0.506
198,BL7,329,516,0.638
199,MU7,6,385,0.016
199,WH7,20,385,0.052
199,BL7,41,385,0.106
199,SPED,61,385,0.158
199,Female,180,385,0.468
199,Male,205,385,0.532
199,LEP,210,385,0.545
199,HI7,318,385,0.826
199,Economy,322,385,0.836
200,HI7,2,108,0.019
200,MU7,2,108,0.019
200,WH7,3,108,0.028
200,SPED,5,108,0.046
200,Female,53,108,0.491
200,Male,55,108,0.509
200,BL7,101,108,0.935
200,Economy,108,108,1
209,LEP,1,203,0.005
209,HI7,2,203,0.01
209,MU7,3,203,0.015
209,SPED,10,203,0.049
209,Female,101,203,0.498
209,Male,102,203,0.502
209,Economy,180,203,0.887
209,BL7,198,203,0.975
210,WH7,6,435,0.014
210,HI7,16,435,0.037
210,LEP,22,435,0.051
210,SPED,26,435,0.06
210,Male,180,435,0.414
210,Female,254,435,0.584
210,BL7,410,435,0.943
210,Economy,434,435,0.998
214,HI7,4,101,0.04
214,SPED,7,101,0.069
214,Female,46,101,0.455
214,Male,55,101,0.545
214,Economy,85,101,0.842
214,BL7,97,101,0.96
216,HI7,1,167,0.006
216,Male,48,167,0.287
216,Female,118,167,0.707
216,BL7,165,167,0.988
217,SPED,20,233,0.086
217,Economy,60,233,0.258
217,Female,94,233,0.403
217,Male,134,233,0.575
217,BL7,228,233,0.979
218,MU7,1,77,0.013
218,HI7,2,77,0.026
218,LEP,2,77,0.026
218,SPED,10,77,0.13
218,Male,38,77,0.494
218,Female,39,77,0.506
218,Economy,69,77,0.896
218,BL7,74,77,0.961
222,AS7,2,253,0.008
222,LEP,25,253,0.099
222,SPED,31,253,0.123
222,HI7,51,253,0.202
222,Economy,89,253,0.352
222,Female,117,253,0.462
222,Male,136,253,0.538
222,BL7,200,253,0.791
361,HI7,4,386,0.01
361,LEP,4,386,0.01
361,SPED,23,386,0.06
361,Female,181,386,0.469
361,Male,205,386,0.531
361,BL7,382,386,0.99
361,Economy,386,386,1
362,WH7,1,266,0.004
362,HI7,2,266,0.008
362,SPED,53,266,0.199
362,Female,130,266,0.489
362,Male,136,266,0.511
362,BL7,263,266,0.989
362,Economy,266,266,1
363,HI7,2,371,0.005
363,SPED,18,371,0.049
363,Male,183,371,0.493
363,Female,188,371,0.507
363,BL7,369,371,0.995
363,Economy,371,371,1
364,HI7,2,351,0.006
364,SPED,55,351,0.157
364,Male,162,351,0.462
364,Female,188,351,0.536
364,BL7,348,351,0.991
364,Economy,350,351,0.997
365,AS7,2,290,0.007
365,LEP,9,290,0.031
365,HI7,11,290,0.038
365,SPED,16,290,0.055
365,Female,128,290,0.441
365,Male,162,290,0.559
365,BL7,277,290,0.955
365,Economy,290,290,1
366,LEP,1,216,0.005
366,HI7,5,216,0.023
366,SPED,51,216,0.236
366,Female,101,216,0.468
366,Male,115,216,0.532
366,BL7,211,216,0.977
366,Economy,216,216,1
1047,MU7,7,250,0.028
1047,WH7,16,250,0.064
1047,HI7,33,250,0.132
1047,Female,91,250,0.364
1047,Male,159,250,0.636
1047,Economy,189,250,0.756
1047,BL7,194,250,0.776
1047,SPED,250,250,1
1100,SPED,65,382,0.17
1100,Male,183,382,0.479
1100,Female,196,382,0.513
1100,Economy,308,382,0.806
1100,BL7,379,382,0.992
1103,AS7,2,251,0.008
1103,SPED,23,251,0.092
1103,LEP,77,251,0.307
1103,BL7,104,251,0.414
1103,Male,125,251,0.498
1103,Female,126,251,0.502
1103,HI7,145,251,0.578
1103,Economy,251,251,1
1104,WH7,1,237,0.004
1104,MU7,1,237,0.004
1104,SPED,25,237,0.105
1104,Female,106,237,0.447
1104,Male,131,237,0.553
1104,BL7,235,237,0.992
1104,Economy,237,237,1
1105,AS7,1,227,0.004
1105,LEP,1,227,0.004
1105,SPED,20,227,0.088
1105,Male,110,227,0.485
1105,Female,117,227,0.515
1105,BL7,226,227,0.996
1105,Economy,227,227,1
1106,WH7,1,237,0.004
1106,PI7,2,237,0.008
1106,MU7,2,237,0.008
1106,AM7,3,237,0.013
1106,SPED,26,237,0.11
1106,LEP,62,237,0.262
1106,BL7,101,237,0.426
1106,Male,106,237,0.447
1106,HI7,127,237,0.536
1106,Female,130,237,0.549
1106,Economy,236,237,0.996
1107,WH7,1,239,0.004
1107,AS7,5,239,0.021
1107,SPED,28,239,0.117
1107,LEP,39,239,0.163
1107,HI7,70,239,0.293
1107,Female,119,239,0.498
1107,Male,120,239,0.502
1107,BL7,163,239,0.682
1107,Economy,239,239,1
1108,MU7,1,226,0.004
1108,HI7,3,226,0.013
1108,LEP,5,226,0.022
1108,SPED,24,226,0.106
1108,Female,110,226,0.487
1108,Male,116,226,0.513
1108,BL7,222,226,0.982
1108,Economy,226,226,1
1109,MU7,1,309,0.003
1109,LEP,2,309,0.006
1109,AM7,2,309,0.006
1109,HI7,6,309,0.019
1109,SPED,27,309,0.087
1109,Female,147,309,0.476
1109,Male,161,309,0.521
1109,BL7,299,309,0.968
1109,Economy,307,309,0.994
1110,AM7,1,429,0.002
1110,HI7,7,429,0.016
1110,LEP,7,429,0.016
1110,MU7,16,429,0.037
1110,SPED,20,429,0.047
1110,Male,201,429,0.469
1110,Female,228,429,0.531
1110,BL7,405,429,0.944
1110,Economy,429,429,1
1113,HI7,3,617,0.005
1113,SPED,48,617,0.078
1113,BL7,613,617,0.994
1113,Female,617,617,1
1113,Economy,617,617,1
1116,MU7,7,468,0.015
1116,SPED,46,468,0.098
1116,Female,228,468,0.487
1116,Male,239,468,0.511
1116,BL7,460,468,0.983
1116,Economy,466,468,0.996
1117,PI7,1,511,0.002
1117,LEP,28,511,0.055
1117,HI7,32,511,0.063
1117,SPED,37,511,0.072
1117,AS7,50,511,0.098
1117,Economy,65,511,0.127
1117,MU7,83,511,0.162
1117,WH7,137,511,0.268
1117,BL7,208,511,0.407
1117,Male,251,511,0.491
1117,Female,260,511,0.509
1118,MU7,5,274,0.018
1118,AS7,7,274,0.026
1118,SPED,31,274,0.113
1118,HI7,45,274,0.164
1118,WH7,52,274,0.19
1118,Economy,65,274,0.237
1118,Male,126,274,0.46
1118,Female,147,274,0.536
1118,BL7,164,274,0.599
1119,MU7,2,1983,0.001
1119,WH7,32,1983,0.016
1119,AS7,87,1983,0.044
1119,LEP,114,1983,0.057
1119,BL7,390,1983,0.197
1119,Male,853,1983,0.43
1119,Female,1129,1983,0.569
1119,HI7,1469,1983,0.741
1119,Economy,1653,1983,0.834
1120,HI7,1,330,0.003
1120,WH7,1,330,0.003
1120,SPED,56,330,0.17
1120,Male,147,330,0.445
1120,Female,183,330,0.555
1120,BL7,328,330,0.994
1120,Economy,330,330,1
1121,LEP,1,409,0.002
1121,MU7,1,409,0.002
1121,HI7,6,409,0.015
1121,SPED,56,409,0.137
1121,Female,183,409,0.447
1121,Male,226,409,0.553
1121,Economy,354,409,0.866
1121,BL7,402,409,0.983
1122,MU7,1,306,0.003
1122,HI7,4,306,0.013
1122,SPED,23,306,0.075
1122,Female,146,306,0.477
1122,Male,159,306,0.52
1122,Economy,267,306,0.873
1122,BL7,300,306,0.98
1123,MU7,1,424,0.002
1123,HI7,1,424,0.002
1123,SPED,76,424,0.179
1123,Male,165,424,0.389
1123,Female,259,424,0.611
1123,Economy,296,424,0.698
1123,BL7,422,424,0.995
1124,LEP,1,406,0.002
1124,WH7,2,406,0.005
1124,HI7,3,406,0.007
1124,SPED,75,406,0.185
1124,Male,199,406,0.49
1124,Female,207,406,0.51
1124,BL7,401,406,0.988
1124,Economy,406,406,1
1125,HI7,2,143,0.014
1125,WH7,4,143,0.028
1125,SPED,5,143,0.035
1125,Female,64,143,0.448
1125,Male,79,143,0.552
1125,Economy,99,143,0.692
1125,BL7,137,143,0.958
1129,MU7,1,304,0.003
1129,WH7,2,304,0.007
1129,AS7,5,304,0.016
1129,HI7,8,304,0.026
1129,LEP,9,304,0.03
1129,SPED,19,304,0.063
1129,Male,148,304,0.487
1129,Female,156,304,0.513
1129,Economy,228,304,0.75
1129,BL7,286,304,0.941
1137,AS7,1,172,0.006
1137,LEP,2,172,0.012
1137,SPED,3,172,0.017
1137,HI7,4,172,0.023
1137,WH7,7,172,0.041
1137,Male,84,172,0.488
1137,Female,88,172,0.512
1137,BL7,160,172,0.93
1137,Economy,170,172,0.988
1138,WH7,2,334,0.006
1138,AS7,2,334,0.006
1138,MU7,8,334,0.024
1138,LEP,48,334,0.144
1138,SPED,69,334,0.207
1138,HI7,120,334,0.359
1138,Female,157,334,0.47
1138,Male,177,334,0.53
1138,Economy,194,334,0.581
1138,BL7,202,334,0.605
1206,AS7,3,383,0.008
1206,MU7,24,383,0.063
1206,SPED,44,383,0.115
1206,WH7,59,383,0.154
1206,LEP,102,383,0.266
1206,HI7,140,383,0.366
1206,BL7,157,383,0.41
1206,Male,186,383,0.486
1206,Female,197,383,0.514
1206,Economy,234,383,0.611
1207,PI7,1,337,0.003
1207,WH7,3,337,0.009
1207,MU7,6,337,0.018
1207,AS7,10,337,0.03
1207,LEP,47,337,0.139
1207,SPED,64,337,0.19
1207,BL7,127,337,0.377
1207,Male,145,337,0.43
1207,HI7,190,337,0.564
1207,Female,192,337,0.57
