"year","lea_code","lea_name","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,165,"Inspired Teaching Demonstration PCS","All","all","math","full_year",55,55,33,8,14,23,10
2014,165,"Inspired Teaching Demonstration PCS","All","all","read","full_year",55,53,37,5,11,29,8
2014,165,"Inspired Teaching Demonstration PCS","MALE","all","math","full_year",30,30,20,5,5,12,8
2014,165,"Inspired Teaching Demonstration PCS","MALE","all","read","full_year",30,29,22,3,4,15,7
2014,165,"Inspired Teaching Demonstration PCS","FEMALE","all","math","full_year",25,25,13,3,9,11,2
2014,165,"Inspired Teaching Demonstration PCS","BL7","all","math","full_year",35,35,16,8,11,15,1
2014,165,"Inspired Teaching Demonstration PCS","BL7","all","read","full_year",35,33,19,4,10,18,1
2014,1,"District of Columbia Public Schools","All","all","math","full_year",18543,18150,9401,2996,5753,6304,3097
2014,1,"District of Columbia Public Schools","All","all","read","full_year",18543,18108,8736,2807,6565,6849,1887
2014,1,"District of Columbia Public Schools","All","grade 3","math","full_year",3344,3317,1588,554,1175,1059,529
2014,1,"District of Columbia Public Schools","All","grade 3","read","full_year",3344,3315,1431,762,1122,1202,229
2014,1,"District of Columbia Public Schools","All","grade 7","math","full_year",2272,2248,1206,353,689,857,349
2014,1,"District of Columbia Public Schools","All","grade 7","read","full_year",2272,2248,1193,198,857,799,394
2014,1,"District of Columbia Public Schools","All","grade 6","math","full_year",2173,2153,1017,418,718,607,410
2014,1,"District of Columbia Public Schools","All","grade 6","read","full_year",2173,2155,927,390,838,796,131
2014,1,"District of Columbia Public Schools","All","grade 4","math","full_year",2967,2942,1661,536,745,1023,638
2014,1,"District of Columbia Public Schools","All","grade 4","read","full_year",2967,2941,1428,472,1041,1154,274
2014,1,"District of Columbia Public Schools","All","grade 5","math","full_year",2776,2754,1354,490,910,889,465
2014,1,"District of Columbia Public Schools","All","grade 5","read","full_year",2776,2712,1390,290,1032,1219,171
2014,1,"District of Columbia Public Schools","All","grade 8","math","full_year",2327,2286,1369,240,677,939,430
2014,1,"District of Columbia Public Schools","All","grade 8","read","full_year",2327,2285,1146,270,869,854,292
2014,1,"District of Columbia Public Schools","All","grade 10","math","full_year",2684,2450,1206,405,839,930,276
2014,1,"District of Columbia Public Schools","All","grade 10","read","full_year",2684,2452,1221,425,806,825,396
2014,1,"District of Columbia Public Schools","MALE","all","math","full_year",9363,9165,4469,1698,2998,2958,1511
2014,1,"District of Columbia Public Schools","MALE","all","read","full_year",9363,9148,3886,1809,3453,3104,782
2014,1,"District of Columbia Public Schools","MALE","grade 7","math","full_year",1138,1126,558,213,355,382,176
2014,1,"District of Columbia Public Schools","MALE","grade 7","read","full_year",1138,1126,528,141,457,357,171
2014,1,"District of Columbia Public Schools","MALE","grade 6","math","full_year",1091,1081,477,228,376,278,199
2014,1,"District of Columbia Public Schools","MALE","grade 6","read","full_year",1091,1085,398,263,424,340,58
2014,1,"District of Columbia Public Schools","MALE","grade 4","math","full_year",1488,1475,820,291,364,484,336
