"year","lea_code","lea_name","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,0,"CHARTER SECTOR LEA","All","all","math","full_year",13086,12654,7573,1321,3760,5445,2128
2014,0,"CHARTER SECTOR LEA","All","all","read","full_year",13086,12625,6764,1255,4606,5789,975
2014,0,"CHARTER SECTOR LEA","All","grade 4","math","full_year",1713,1707,1097,198,412,756,341
2014,0,"CHARTER SECTOR LEA","All","grade 4","read","full_year",1713,1706,911,178,617,809,102
2014,0,"CHARTER SECTOR LEA","All","grade 7","math","full_year",2142,1992,1292,170,530,926,366
2014,0,"CHARTER SECTOR LEA","All","grade 7","read","full_year",2142,1982,1184,91,707,874,310
2014,0,"CHARTER SECTOR LEA","All","grade 8","math","full_year",1916,1751,1284,102,365,895,389
2014,0,"CHARTER SECTOR LEA","All","grade 8","read","full_year",1916,1750,1043,105,602,886,157
2014,0,"CHARTER SECTOR LEA","All","grade 3","math","full_year",1934,1925,890,245,790,684,206
2014,0,"CHARTER SECTOR LEA","All","grade 3","read","full_year",1934,1912,870,335,707,800,70
2014,0,"CHARTER SECTOR LEA","All","grade 10","math","full_year",1530,1512,822,208,482,733,89
2014,0,"CHARTER SECTOR LEA","All","grade 10","read","full_year",1530,1515,741,175,599,605,136
2014,0,"CHARTER SECTOR LEA","All","grade 6","math","full_year",2108,2026,1146,245,635,741,405
2014,0,"CHARTER SECTOR LEA","All","grade 6","read","full_year",2108,2021,965,256,800,878,87
2014,0,"CHARTER SECTOR LEA","All","grade 5","math","full_year",1743,1741,1042,153,546,710,332
2014,0,"CHARTER SECTOR LEA","All","grade 5","read","full_year",1743,1739,1050,115,574,937,113
2014,0,"CHARTER SECTOR LEA","MALE","all","math","full_year",6457,6220,3585,752,1883,2603,982
2014,0,"CHARTER SECTOR LEA","MALE","all","read","full_year",6457,6206,2955,805,2446,2592,363
2014,0,"CHARTER SECTOR LEA","MALE","grade 4","math","full_year",849,846,538,107,201,364,174
2014,0,"CHARTER SECTOR LEA","MALE","grade 4","read","full_year",849,844,411,116,317,376,35
2014,0,"CHARTER SECTOR LEA","MALE","grade 7","math","full_year",1046,958,588,91,279,438,150
2014,0,"CHARTER SECTOR LEA","MALE","grade 7","read","full_year",1046,954,500,64,390,384,116
2014,0,"CHARTER SECTOR LEA","MALE","grade 10","math","full_year",720,714,357,114,243,308,49
2014,0,"CHARTER SECTOR LEA","MALE","grade 10","read","full_year",720,718,300,103,315,248,52
2014,0,"CHARTER SECTOR LEA","MALE","grade 5","math","full_year",861,859,503,82,274,347,156
2014,0,"CHARTER SECTOR LEA","MALE","grade 5","read","full_year",861,859,470,71,318,430,40
2014,0,"CHARTER SECTOR LEA","MALE","grade 8","math","full_year",954,867,617,64,186,453,164
2014,0,"CHARTER SECTOR LEA","MALE","grade 8","read","full_year",954,866,456,71,339,405,51
2014,0,"CHARTER SECTOR LEA","MALE","grade 6","math","full_year",1063,1016,548,150,318,356,192
2014,0,"CHARTER SECTOR LEA","MALE","grade 6","read","full_year",1063,1013,438,178,397,402,36
2014,0,"CHARTER SECTOR LEA","MALE","grade 3","math","full_year",964,960,434,144,382,337,97
2014,0,"CHARTER SECTOR LEA","MALE","grade 3","read","full_year",964,952,380,202,370,347,33
2014,0,"CHARTER SECTOR LEA","FEMALE","all","math","full_year",6629,6434,3988,569,1877,2842,1146
2014,0,"CHARTER SECTOR LEA","FEMALE","all","read","full_year",6629,6419,3809,450,2160,3197,612
2014,0,"CHARTER SECTOR LEA","FEMALE","grade 4","math","full_year",864,861,559,91,211,392,167
2014,0,"CHARTER SECTOR LEA","FEMALE","grade 4","read","full_year",864,862,500,62,300,433,67
2014,0,"CHARTER SECTOR LEA","FEMALE","grade 8","math","full_year",962,884,667,38,179,442,225
