"fiscal_year","lea_code","lea_name","indicator","value","target","weight","target_dir","on_target"
2012,1,"District of Columbia Public Schools","1",0.3065,0.85,1,"up",FALSE
2012,1,"District of Columbia Public Schools","10",1,0,1,"down",FALSE
2012,1,"District of Columbia Public Schools","11",0.96,1,1,"up",FALSE
2012,1,"District of Columbia Public Schools","12",0.95,1,1,"up",FALSE
2012,1,"District of Columbia Public Schools","13",0.4,1,1,"up",FALSE
2012,1,"District of Columbia Public Schools","14_a",0.2078,0.27,0.3333,"up",FALSE
2012,1,"District of Columbia Public Schools","14_b",0.2365,0.51,0.3333,"up",FALSE
2012,1,"District of Columbia Public Schools","14_c",0.2979,0.64,0.3333,"up",FALSE
2012,1,"District of Columbia Public Schools","15",0.78,NA,NA,NA,NA
2012,1,"District of Columbia Public Schools","18",NA,NA,NA,NA,NA
2012,1,"District of Columbia Public Schools","19",NA,NA,NA,NA,NA
2012,1,"District of Columbia Public Schools","2",0.15,0.06,1,"down",FALSE
2012,1,"District of Columbia Public Schools","20",NA,NA,NA,NA,NA
2012,1,"District of Columbia Public Schools","3a",0,0.5,0.3333,"up",FALSE
2012,1,"District of Columbia Public Schools","3b_math",0.986,0.95,0.1667,"up",TRUE
2012,1,"District of Columbia Public Schools","3b_reading",0.989,0.95,0.1667,"up",TRUE
2012,1,"District of Columbia Public Schools","3c_elem.math",0.2047,NA,NA,NA,NA
2012,1,"District of Columbia Public Schools","3c_elem.reading",0.1853,NA,NA,NA,NA
2012,1,"District of Columbia Public Schools","3c_sec.math",0.2027,NA,NA,NA,NA
2012,1,"District of Columbia Public Schools","3c_sec.reading",0.1749,NA,NA,NA,NA
2012,1,"District of Columbia Public Schools","4a",1,0,0.5,"down",FALSE
2012,1,"District of Columbia Public Schools","4b_a",1,0,0.25,"down",FALSE
2012,1,"District of Columbia Public Schools","4b_b",1,0,0.25,"down",FALSE
2012,1,"District of Columbia Public Schools","5a",0.45,0.175,0.3333,"up",TRUE
2012,1,"District of Columbia Public Schools","5b",0.14,0.15,0.3333,"down",TRUE
2012,1,"District of Columbia Public Schools","5c",0.21,0.15,0.3333,"down",FALSE
2012,1,"District of Columbia Public Schools","6a",0.56,0.63,0.5,"up",FALSE
2012,1,"District of Columbia Public Schools","6b",0.18,0.15,0.5,"down",FALSE
2012,1,"District of Columbia Public Schools","7a_a",0.92,0.7,0.1667,"up",TRUE
2012,1,"District of Columbia Public Schools","7a_b",0.83,0.6,0.1667,"up",TRUE
2012,1,"District of Columbia Public Schools","7b_a",0.92,0.9,0.1667,"up",TRUE
2012,1,"District of Columbia Public Schools","7b_b",0.81,0.6,0.1667,"up",TRUE
2012,1,"District of Columbia Public Schools","7c_a",0.83,0.6,0.1667,"up",TRUE
2012,1,"District of Columbia Public Schools","7c_b",0.79,0.8,0.1667,"up",FALSE
2012,1,"District of Columbia Public Schools","8",0.92,0.75,1,"up",TRUE
2012,1,"District of Columbia Public Schools","9",0,0,1,"down",TRUE
2012,103,"AppleTree Early Learning Center PCS","1",NA,0.85,1,"up",NA
