"lea_code","lea_name","school_code","school_name","subgroup","year","graduates","cohort_size"
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","All",2011,26,40
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","MALE",2011,11,19
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","FEMALE",2011,15,21
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","BL7",2011,26,39
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","Economy",2011,17,25
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","All",2012,38,75
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","MALE",2012,10,31
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","FEMALE",2012,28,44
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","BL7",2012,38,74
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","SPED",2012,7,20
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","Economy",2012,34,63
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","All",2013,40,82
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","MALE",2013,13,36
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","FEMALE",2013,27,46
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","BL7",2013,40,82
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","SPED",2013,10,27
133,"Maya Angelou PCS",101,"MAYA ANGELOU EVANS CAMPUS PCS","Economy",2013,31,68
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","All",2011,47,57
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","MALE",2011,16,22
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","FEMALE",2011,31,35
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","BL7",2011,40,49
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","Economy",2011,41,43
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","All",2012,41,59
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","MALE",2012,11,20
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","FEMALE",2012,30,39
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","BL7",2012,39,56
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","Economy",2012,30,40
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","All",2013,63,87
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","MALE",2013,16,28
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","FEMALE",2013,47,59
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","BL7",2013,58,76
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","HI7",2013,5,10
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","SPED",2013,5,12
109,"Cesar Chavez Public PCS",109,"CESAR CHAVEZ PCS PARKSIDE UPPER","Economy",2013,49,70
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","All",2011,78,86
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","MALE",2011,32,38
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","FEMALE",2011,46,48
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","BL7",2011,73,81
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","SPED",2011,10,10
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","Economy",2011,47,51
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","All",2012,56,73
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","MALE",2012,25,32
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","FEMALE",2012,31,41
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","BL7",2012,56,73
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","SPED",2012,10,15
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","Economy",2012,35,46
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","All",2013,42,66
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","MALE",2013,21,34
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","FEMALE",2013,21,32
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","BL7",2013,39,61
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","SPED",2013,7,14
106,"Booker T. Washington PCS",151,"BOOKER T  WASHINGTON PCS","Economy",2013,40,59
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","All",2011,73,86
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","MALE",2011,30,33
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","FEMALE",2011,43,53
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","BL7",2011,56,67
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","HI7",2011,13,15
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","Economy",2011,51,56
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","All",2012,46,74
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","MALE",2012,25,38
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","FEMALE",2012,21,36
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","BL7",2012,41,62
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","HI7",2012,5,12
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","SPED",2012,5,16
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","Economy",2012,28,44
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","All",2013,52,77
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","MALE",2013,27,41
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","FEMALE",2013,25,36
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","BL7",2013,42,61
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","HI7",2013,10,15
109,"Cesar Chavez Public PCS",153,"CESAR CHAVEZ CAPITOL HILL PCS","Economy",2013,36,56
122,"Hospitality PCS",160,"HOSPITALITY PCS","All",2011,19,30
122,"Hospitality PCS",160,"HOSPITALITY PCS","MALE",2011,9,14
122,"Hospitality PCS",160,"HOSPITALITY PCS","FEMALE",2011,10,15
