"year","school_code","school_name","subgroup","subject","grade","enrollment_status","n_test_takers","baseline","target"
2014,102,"CESAR CHAVEZ PARKSIDE MS PCS","BL7","Math","all","full_year",270,0.606060606060606,0.704545454545455
2014,1106,"CENTER CITY PETWORTH CAMPUS PCS","BL7","Math","all","full_year",62,0.415730337078652,0.561797752808989
2014,1120,"NATIONAL COLLEGIATE PREP PCS","ECONOMY","Math","all","full_year",69,0.421052631578947,0.565789473684211
2014,114,"HOPE COMMUNITY PCS TOLSON CAMPUS","ECONOMY","Math","all","full_year",138,0.466666666666667,0.6
2014,198,"TWO RIVERS PCS","All","Math","all","full_year",281,0.623893805309734,0.717920353982301
2014,227,"H D COOKE ES","All","Math","all","full_year",126,0.243478260869565,0.432608695652174
2014,262,"LANGDON EC","BL7","Math","all","full_year",123,0.688888888888889,0.766666666666667
2014,285,"MOTEN ES","All","Math","all","full_year",136,0.12751677852349,0.345637583892617
2014,3068,"BASIS DC PCS","BL7","Math","all","full_year",217,0.619929557984655,0.683274631653879
2014,3068,"BASIS DC PCS","HI7","Math","all","full_year",32,0.843972243306171,0.85697455636399
2014,3068,"BASIS DC PCS","WH7","Math","all","full_year",154,0.921846192646189,0.934871827205158
2014,321,"STODDERT ES","ECONOMY","Math","all","full_year",26,0.6,0.7
2014,325,"THOMAS ES","BL7","Math","all","full_year",123,0.273684210526316,0.455263157894737
2014,328,"TUBMAN ES","ECONOMY","Math","all","full_year",169,0.612903225806452,0.709677419354839
2014,405,"DEAL MS","All","Math","all","full_year",1216,0.888517279821628,0.916387959866221
2014,442,"COLUMBIA HEIGHTS EC (CHEC)","BL7","Math","all","full_year",162,0.490445859872611,0.617834394904459
2014,457,"EASTERN HS","All","Math","all","full_year",192,0.353218872674518,0.461015727228765
2014,457,"EASTERN HS","SPED","Math","all","full_year",38,0.278099503780019,0.398416253150016
2014,463,"WILSON HS","All","Math","all","full_year",375,0.522546419098143,0.641909814323607
2014,471,"ELLINGTON SCHOOL OF THE ARTS","ECONOMY","Math","all","full_year",62,0.6875,0.765625
2014,102,"CESAR CHAVEZ PARKSIDE MS PCS","SPED","Math","all","full_year",47,0.233333333333333,0.425
2014,1100,"ACHIEVEMENT PREPARATORY PCS-MIDDLE SCHOOL","All","Math","all","full_year",360,0.869230769230769,0.901923076923077
