"year","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,"All","all","math","full_year",31844,31003,17038,4367,9598,11806,5232
2014,"All","all","read","full_year",31844,30934,15570,4108,11256,12702,2868
2014,"All","grade 4","math","full_year",4700,4669,2768,736,1165,1788,980
2014,"All","grade 4","read","full_year",4700,4667,2347,652,1668,1970,377
2014,"All","grade 3","math","full_year",5307,5271,2488,806,1977,1753,735
2014,"All","grade 3","read","full_year",5307,5256,2312,1107,1837,2012,300
2014,"All","grade 7","math","full_year",4444,4267,2514,527,1226,1796,718
2014,"All","grade 7","read","full_year",4444,4258,2392,291,1575,1687,705
2014,"All","grade 6","math","full_year",4318,4214,2167,677,1370,1351,816
2014,"All","grade 6","read","full_year",4318,4211,1900,655,1656,1681,219
2014,"All","grade 5","math","full_year",4543,4519,2403,649,1467,1604,799
2014,"All","grade 5","read","full_year",4543,4475,2449,408,1618,2164,285
2014,"All","grade 8","math","full_year",4278,4072,2662,351,1059,1843,819
2014,"All","grade 8","read","full_year",4278,4070,2199,383,1488,1750,449
2014,"All","grade 10","math","full_year",4254,3991,2036,621,1334,1671,365
2014,"All","grade 10","read","full_year",4254,3997,1971,612,1414,1438,533
2014,"MALE","all","math","full_year",15934,15492,8089,2483,4920,5593,2496
2014,"MALE","all","read","full_year",15934,15463,6873,2647,5943,5727,1146
2014,"MALE","grade 4","math","full_year",2346,2330,1363,399,568,853,510
2014,"MALE","grade 4","read","full_year",2346,2328,1067,424,837,911,156
2014,"MALE","grade 7","math","full_year",2199,2097,1154,307,636,827,327
2014,"MALE","grade 7","read","full_year",2199,2094,1036,206,852,749,287
2014,"MALE","grade 6","math","full_year",2176,2119,1026,390,703,634,392
2014,"MALE","grade 6","read","full_year",2176,2120,838,449,833,744,94
2014,"MALE","grade 10","math","full_year",2041,1911,871,359,681,702,169
2014,"MALE","grade 10","read","full_year",2041,1919,800,376,743,601,199
2014,"MALE","grade 5","math","full_year",2318,2304,1161,362,781,790,371
2014,"MALE","grade 5","read","full_year",2318,2281,1118,271,892,1003,115
2014,"MALE","grade 8","math","full_year",2173,2066,1291,206,569,926,365
2014,"MALE","grade 8","read","full_year",2173,2065,972,258,835,799,173
2014,"MALE","grade 3","math","full_year",2681,2665,1223,460,982,861,362
2014,"MALE","grade 3","read","full_year",2681,2656,1042,663,951,920,122
2014,"FEMALE","all","math","full_year",15910,15511,8949,1884,4678,6213,2736
2014,"FEMALE","all","read","full_year",15910,15471,8697,1461,5313,6975,1722
2014,"FEMALE","grade 4","math","full_year",2354,2339,1405,337,597,935,470
2014,"FEMALE","grade 4","read","full_year",2354,2339,1280,228,831,1059,221
2014,"FEMALE","grade 3","math","full_year",2626,2606,1265,346,995,892,373
2014,"FEMALE","grade 3","read","full_year",2626,2600,1270,444,886,1092,178
2014,"FEMALE","grade 7","math","full_year",2245,2170,1360,220,590,969,391
2014,"FEMALE","grade 7","read","full_year",2245,2164,1356,85,723,938,418
2014,"FEMALE","grade 5","math","full_year",2225,2215,1242,287,686,814,428
2014,"FEMALE","grade 5","read","full_year",2225,2194,1331,137,726,1161,170
2014,"FEMALE","grade 8","math","full_year",2105,2006,1371,145,490,917,454
2014,"FEMALE","grade 8","read","full_year",2105,2005,1227,125,653,951,276
2014,"FEMALE","grade 6","math","full_year",2142,2095,1141,287,667,717,424
2014,"FEMALE","grade 6","read","full_year",2142,2091,1062,206,823,937,125
2014,"FEMALE","grade 10","math","full_year",2213,2080,1165,262,653,969,196
2014,"FEMALE","grade 10","read","full_year",2213,2078,1171,236,671,837,334
2014,"AS7","all","math","full_year",476,452,394,10,48,167,227
2014,"AS7","all","read","full_year",476,450,353,16,81,253,100
2014,"AS7","grade 8","math","full_year",63,57,54,1,2,17,37
2014,"AS7","grade 8","read","full_year",63,57,45,2,10,23,22
2014,"AS7","grade 6","math","full_year",67,64,53,3,8,18,35
2014,"AS7","grade 6","read","full_year",67,64,45,6,13,39,6
2014,"AS7","grade 4","math","full_year",70,67,62,0,5,18,44
2014,"AS7","grade 4","read","full_year",70,67,56,0,11,45,11
2014,"AS7","grade 3","math","full_year",69,64,53,2,9,28,25
2014,"AS7","grade 3","read","full_year",69,63,49,2,12,41,8
2014,"AS7","grade 7","math","full_year",69,65,58,1,6,28,30
2014,"AS7","grade 7","read","full_year",69,64,54,1,9,28,26
2014,"AS7","grade 5","math","full_year",76,75,65,1,9,36,29
2014,"AS7","grade 5","read","full_year",76,75,60,1,14,49,11
2014,"AS7","grade 10","math","full_year",62,60,49,2,9,22,27
2014,"AS7","grade 10","read","full_year",62,60,44,4,12,28,16
2014,"BL7","all","math","full_year",23701,23075,11224,3847,8004,8625,2599
2014,"BL7","all","read","full_year",23701,23021,10186,3487,9348,8898,1288
2014,"BL7","grade 4","math","full_year",3359,3344,1750,639,955,1296,454
2014,"BL7","grade 4","read","full_year",3359,3344,1425,538,1381,1294,131
2014,"BL7","grade 3","math","full_year",3735,3722,1427,700,1595,1127,300
2014,"BL7","grade 3","read","full_year",3735,3708,1334,928,1446,1243,91
2014,"BL7","grade 7","math","full_year",3423,3281,1760,468,1053,1382,378
2014,"BL7","grade 7","read","full_year",3423,3276,1655,252,1369,1308,347
2014,"BL7","grade 6","math","full_year",3216,3145,1369,612,1164,987,382
2014,"BL7","grade 6","read","full_year",3216,3145,1198,575,1372,1110,88
2014,"BL7","grade 5","math","full_year",3288,3281,1496,573,1212,1078,418
2014,"BL7","grade 5","read","full_year",3288,3243,1555,345,1343,1446,109
2014,"BL7","grade 8","math","full_year",3272,3110,1913,306,891,1442,471
2014,"BL7","grade 8","read","full_year",3272,3110,1551,324,1235,1340,211
2014,"BL7","grade 10","math","full_year",3408,3192,1509,549,1134,1313,196
2014,"BL7","grade 10","read","full_year",3408,3195,1468,525,1202,1157,311
2014,"HI7","all","math","full_year",4470,4326,2527,465,1334,1892,635
2014,"HI7","all","read","full_year",4470,4317,2162,567,1588,1845,317
2014,"HI7","grade 7","math","full_year",599,569,362,57,150,276,86
2014,"HI7","grade 7","read","full_year",599,566,344,38,184,254,90
2014,"HI7","grade 8","math","full_year",613,578,389,41,148,295,94
2014,"HI7","grade 8","read","full_year",613,577,307,54,216,257,50
2014,"HI7","grade 10","math","full_year",512,492,254,62,176,220,34
2014,"HI7","grade 10","read","full_year",512,495,242,74,179,189,53
2014,"HI7","grade 4","math","full_year",688,679,407,90,182,291,116
2014,"HI7","grade 4","read","full_year",688,679,332,110,237,299,33
2014,"HI7","grade 3","math","full_year",800,792,396,89,307,298,98
2014,"HI7","grade 3","read","full_year",800,792,321,162,309,293,28
2014,"HI7","grade 6","math","full_year",601,571,348,54,169,238,110
2014,"HI7","grade 6","read","full_year",601,569,276,69,224,245,31
2014,"HI7","grade 5","math","full_year",657,645,371,72,202,274,97
2014,"HI7","grade 5","read","full_year",657,639,340,60,239,308,32
2014,"MU7","all","math","full_year",498,491,422,18,51,188,234
2014,"MU7","all","read","full_year",498,491,408,17,66,265,143
2014,"MU7","grade 6","math","full_year",63,63,49,5,9,15,34
2014,"MU7","grade 6","read","full_year",63,63,47,3,13,35,12
2014,"MU7","grade 5","math","full_year",84,83,74,1,8,39,35
2014,"MU7","grade 5","read","full_year",84,83,77,1,5,62,15
2014,"MU7","grade 8","math","full_year",60,60,52,2,6,21,31
2014,"MU7","grade 8","read","full_year",60,60,48,2,10,28,20
2014,"MU7","grade 10","math","full_year",54,50,45,2,3,30,15
2014,"MU7","grade 10","read","full_year",54,50,40,3,7,15,25
2014,"MU7","grade 7","math","full_year",53,52,49,0,3,23,26
2014,"MU7","grade 7","read","full_year",53,52,49,0,3,18,31
2014,"MU7","grade 4","math","full_year",92,92,82,2,8,28,54
2014,"MU7","grade 4","read","full_year",92,92,77,4,11,53,24
2014,"MU7","grade 3","math","full_year",92,91,71,6,14,32,39
2014,"MU7","grade 3","read","full_year",92,91,70,4,17,54,16
2014,"PI7","all","math","full_year",30,30,19,2,9,9,10
2014,"PI7","all","read","full_year",30,30,17,0,13,12,5
2014,"WH7","all","math","full_year",2649,2611,2439,24,148,914,1525
2014,"WH7","all","read","full_year",2649,2607,2432,19,156,1418,1014
2014,"WH7","grade 3","math","full_year",602,593,535,8,50,266,269
2014,"WH7","grade 3","read","full_year",602,593,532,11,50,376,156
2014,"WH7","grade 7","math","full_year",297,297,283,0,14,85,198
2014,"WH7","grade 7","read","full_year",297,297,288,0,9,77,211
2014,"WH7","grade 8","math","full_year",263,260,249,1,10,65,184
2014,"WH7","grade 8","read","full_year",263,259,244,0,15,100,144
2014,"WH7","grade 5","math","full_year",432,429,395,2,32,176,219
2014,"WH7","grade 5","read","full_year",432,429,414,1,14,297,117
2014,"WH7","grade 4","math","full_year",482,478,459,5,14,150,309
2014,"WH7","grade 4","read","full_year",482,476,451,0,25,273,178
2014,"WH7","grade 6","math","full_year",363,363,342,3,18,89,253
2014,"WH7","grade 6","read","full_year",363,362,330,1,31,248,82
2014,"WH7","grade 10","math","full_year",210,191,176,5,10,83,93
2014,"WH7","grade 10","read","full_year",210,191,173,6,12,47,126
2014,"SPED","all","math","full_year",5657,5537,1408,1908,2221,1036,372
2014,"SPED","all","read","full_year",5657,5508,1117,2110,2281,856,261
2014,"SPED","grade 7","math","full_year",856,834,192,294,348,145,47
2014,"SPED","grade 7","read","full_year",856,831,195,210,426,152,43
2014,"SPED","grade 6","math","full_year",833,813,173,343,297,116,57
2014,"SPED","grade 6","read","full_year",833,813,147,342,324,107,40
2014,"SPED","grade 4","math","full_year",815,815,244,306,265,181,63
2014,"SPED","grade 4","read","full_year",815,813,157,354,302,115,42
2014,"SPED","grade 8","math","full_year",830,804,269,192,343,213,56
2014,"SPED","grade 8","read","full_year",830,800,168,243,389,129,39
2014,"SPED","grade 3","math","full_year",765,758,194,259,305,126,68
2014,"SPED","grade 3","read","full_year",765,745,153,380,212,118,35
2014,"SPED","grade 5","math","full_year",811,810,207,276,327,140,67
2014,"SPED","grade 5","read","full_year",811,800,190,252,358,146,44
2014,"SPED","grade 10","math","full_year",747,703,129,238,336,115,14
2014,"SPED","grade 10","read","full_year",747,706,107,329,270,89,18
2014,"LEP","all","math","full_year",3416,3251,1607,468,1176,1249,358
2014,"LEP","all","read","full_year",3416,3231,1204,591,1436,1099,105
2014,"LEP","grade 6","math","full_year",357,335,160,60,115,119,41
2014,"LEP","grade 6","read","full_year",357,332,99,77,156,89,10
2014,"LEP","grade 3","math","full_year",801,779,388,96,295,285,103
2014,"LEP","grade 3","read","full_year",801,776,307,164,305,279,28
2014,"LEP","grade 4","math","full_year",630,606,338,90,178,256,82
2014,"LEP","grade 4","read","full_year",630,605,239,110,256,223,16
2014,"LEP","grade 5","math","full_year",568,550,283,75,192,229,54
2014,"LEP","grade 5","read","full_year",568,544,223,67,254,211,12
2014,"LEP","grade 10","math","full_year",358,342,127,64,151,113,14
2014,"LEP","grade 10","read","full_year",358,342,95,79,168,89,6
2014,"LEP","grade 7","math","full_year",362,335,163,49,123,131,32
2014,"LEP","grade 7","read","full_year",362,330,148,39,143,124,24
2014,"LEP","grade 8","math","full_year",340,304,148,34,122,116,32
2014,"LEP","grade 8","read","full_year",340,302,93,55,154,84,9
2014,"Economy","all","math","full_year",24993,24440,11622,4156,8662,9061,2561
2014,"Economy","all","read","full_year",24993,24378,10241,3923,10214,9100,1141
2014,"Economy","grade 3","math","full_year",4167,4144,1586,765,1793,1255,331
2014,"Economy","grade 3","read","full_year",4167,4131,1415,1059,1657,1333,82
2014,"Economy","grade 4","math","full_year",3688,3664,1890,701,1073,1420,470
2014,"Economy","grade 4","read","full_year",3688,3664,1517,631,1516,1392,125
2014,"Economy","grade 7","math","full_year",3520,3411,1774,512,1125,1421,353
2014,"Economy","grade 7","read","full_year",3520,3403,1664,283,1456,1337,327
2014,"Economy","grade 8","math","full_year",3373,3267,1953,335,979,1502,451
2014,"Economy","grade 8","read","full_year",3373,3266,1526,367,1373,1334,192
2014,"Economy","grade 10","math","full_year",3339,3126,1381,572,1173,1228,153
2014,"Economy","grade 10","read","full_year",3339,3132,1304,575,1253,1082,222
2014,"Economy","grade 6","math","full_year",3394,3335,1464,651,1220,1054,410
2014,"Economy","grade 6","read","full_year",3394,3333,1240,616,1477,1147,93
2014,"Economy","grade 5","math","full_year",3512,3493,1574,620,1299,1181,393
2014,"Economy","grade 5","read","full_year",3512,3449,1575,392,1482,1475,100
2014,"Direct Cert","all","math","full_year",14763,14428,6165,2840,5423,4980,1185
2014,"Direct Cert","all","read","full_year",14763,14379,5349,2645,6385,4821,528
2014,"Direct Cert","grade 7","math","full_year",2141,2064,973,360,731,811,162
2014,"Direct Cert","grade 7","read","full_year",2141,2059,917,197,945,763,154
2014,"Direct Cert","grade 4","math","full_year",2213,2201,1010,491,700,786,224
2014,"Direct Cert","grade 4","read","full_year",2213,2199,789,450,960,723,66
2014,"Direct Cert","grade 8","math","full_year",1958,1884,1029,229,626,834,195
2014,"Direct Cert","grade 8","read","full_year",1958,1882,763,247,872,677,86
2014,"Direct Cert","grade 3","math","full_year",2500,2493,808,544,1141,657,151
2014,"Direct Cert","grade 3","read","full_year",2500,2481,706,740,1035,677,29
2014,"Direct Cert","grade 10","math","full_year",1867,1753,753,335,665,674,79
