school_year,lea_name,lea_code,school_name,school_code,elem_sec_classification,poverty_quartile,num_total_classes,num_hq_classes,num_nhq_classes
2013-2014,Basis DC PCS,168,Basis DC PCS,3068,SEC,1,173,166,7
2013-2014,Capital City PCS,108,Capital City High School PCS,1207,SEC,1,209,209,0
2013-2014,District of Columbia Public Schools,001,Cardozo EC,454,SEC,1,158,111,47
2013-2014,District of Columbia Public Schools,001,CHOICE Academy at Emery,947,SEC,1,20,20,0
2013-2014,District of Columbia Public Schools,001,Coolidge HS,455,SEC,1,139,115,24
2013-2014,District of Columbia Public Schools,001,Deal MS,405,ELEM,1,81,31,50
2013-2014,District of Columbia Public Schools,001,Deal MS,405,SEC,1,240,185,55
2013-2014,E.L. Haynes PCS,116,E.L. Haynes Kansas Avenue - High School,1138,SEC,1,93,88,5
2013-2014,District of Columbia Public Schools,001,Ellington School of the Arts,471,SEC,1,27,27,0
2013-2014,District of Columbia Public Schools,001,Hardy MS,246,ELEM,1,25,15,10
2013-2014,District of Columbia Public Schools,001,Hardy MS,246,SEC,1,86,70,16
2013-2014,District of Columbia Public Schools,001,McKinley Technology HS,458,SEC,1,269,200,69
2013-2014,District of Columbia Public Schools,001,Roosevelt HS at MacFarland,459,SEC,1,136,111,25
2013-2014,District of Columbia Public Schools,001,School Without Walls HS,466,SEC,1,207,188,19
2013-2014,District of Columbia Public Schools,001,Stuart Hobson MS (Capitol Hill Cluster),428,ELEM,1,20,15,5
2013-2014,District of Columbia Public Schools,001,Stuart Hobson MS (Capitol Hill Cluster),428,SEC,1,64,54,10
2013-2014,Washington Latin PCS,151,Washington Latin PCS - Middle School,125,SEC,1,44,43,1
2013-2014,Washington Latin PCS,151,Washington Latin PCS - Upper School,1118,SEC,1,64,64,0
2013-2014,District of Columbia Public Schools,001,Wilson HS,463,SEC,1,455,407,48
2013-2014,District of Columbia Public Schools,001,Anacostia HS,450,SEC,2,153,122,31
2013-2014,District of Columbia Public Schools,001,Ballou HS,452,SEC,2,174,168,6
2013-2014,District of Columbia Public Schools,001,Benjamin Banneker HS,402,SEC,2,125,125,0
2013-2014,Capital City PCS,108,Capital City Middle School,182,SEC,2,152,152,0
2013-2014,District of Columbia Public Schools,001,Dunbar HS,467,SEC,2,131,113,18
2013-2014,E.L. Haynes PCS,116,E L  Haynes PCS Georgia Avenue,146,SEC,2,119,103,16
2013-2014,District of Columbia Public Schools,001,Eastern HS,457,SEC,2,202,153,49
2013-2014,District of Columbia Public Schools,001,Eliot Hine MS,407,ELEM,2,8,8,0
2013-2014,District of Columbia Public Schools,001,Eliot Hine MS,407,SEC,2,77,58,19
2013-2014,Friendship PCS,120,Friendship PCS Woodridge Middle,366,SEC,2,23,23,0
2013-2014,Howard University Middle School of Math and Science,124,Howard University Middle School of Math and Science PCS,115,SEC,2,23,21,2
2013-2014,District of Columbia Public Schools,001,Luke Moore Alternative HS,884,SEC,2,84,52,32
