school_year,lea_name,lea_code,school_name,school_code,elem_sec_classification,poverty_quartile,num_total_classes,num_hq_classes,num_nhq_classes
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,DEAL MS,405,SEC,1,16,15,1
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,HARDY MS,246,SEC,1,19,15,4
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,STUART HOBSON MS (CAPITOL HILL CLUSTER),428,SEC,1,173,166,7
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,CARDOZO EC,454,SEC,1,22,21,1
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,CHOICE ACADEMY AT EMERY,947,SEC,1,1,1,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,COOLIDGE HS,455,SEC,1,19,19,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,DEAL MS,405,SEC,1,37,37,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,ELLINGTON SCHOOL OF THE ARTS,471,SEC,1,47,46,1
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,HARDY MS,246,SEC,1,45,41,4
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,MCKINLEY TECHNOLOGY HS,458,SEC,1,40,31,9
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,ROOSEVELT HS AT MACFARLAND,459,SEC,1,37,37,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,SCHOOL WITHOUT WALLS HS,466,SEC,1,46,46,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,STUART HOBSON MS (CAPITOL HILL CLUSTER),428,SEC,1,47,46,1
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WILSON HS,463,SEC,1,45,44,1
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,ELIOT HINE MS,407,SEC,2,64,64,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,ANACOSTIA HS,450,SEC,2,44,43,1
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BALLOU HS,452,SEC,2,110,109,1
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BENJAMIN BANNEKER HS,402,SEC,2,11,8,3
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,DUNBAR HS,467,SEC,2,135,135,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,EASTERN HS,457,SEC,2,36,36,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,ELIOT HINE MS,407,SEC,2,110,110,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,LUKE MOORE ALTERNATIVE HS,884,SEC,2,28,3,25
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WASHINGTON METROPOLITAN HS (FORMERLY YEA),474,SEC,2,17,17,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WOODSON H D HS,464,SEC,2,29,29,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,HART MS,413,SEC,3,4,4,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,JEFFERSON MIDDLE SCHOOL ACADEMY,433,SEC,3,24,24,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,JOHNSON  JOHN HAYDEN MS,416,SEC,3,3,3,0
