school_year,student_group,metric,min_score,max_score
2012,All,CAS Math Growth,23,83
2012,AS7,CAS Math Growth,69,69
2012,BL7,CAS Math Growth,23,83
2012,Economy,CAS Math Growth,16,86
2012,HI7,CAS Math Growth,34,74
2012,LEP,CAS Math Growth,35,72
2012,MU7,CAS Math Growth,58,58
2012,SPED,CAS Math Growth,18,70
2012,WH7,CAS Math Growth,44,74
2012,All,CAS Reading Growth,19,79
2012,AS7,CAS Reading Growth,66,66
2012,BL7,CAS Reading Growth,20,78
2012,Economy,CAS Reading Growth,25,76
2012,HI7,CAS Reading Growth,41,68
2012,LEP,CAS Reading Growth,34,72
2012,MU7,CAS Reading Growth,50,50
2012,SPED,CAS Reading Growth,25,76
2012,WH7,CAS Reading Growth,46,79
2013,All,CAS Math 2-year Growth,25,85
2013,AS7,CAS Math 2-year Growth,55,69
2013,BL7,CAS Math 2-year Growth,25,85
2013,Economy,CAS Math 2-year Growth,24,86
2013,HI7,CAS Math 2-year Growth,35,72
2013,LEP,CAS Math 2-year Growth,32,70
2013,MU7,CAS Math 2-year Growth,62,62
2013,SPED,CAS Math 2-year Growth,22,71
2013,WH7,CAS Math 2-year Growth,47,68
2013,All,CAS Math Growth,15,87
2013,AS7,CAS Math Growth,60,69
2013,BL7,CAS Math Growth,15,87
2013,Economy,CAS Math Growth,15,89
2013,HI7,CAS Math Growth,26,75
2013,LEP,CAS Math Growth,29,68
2013,MU7,CAS Math Growth,65,65
2013,SPED,CAS Math Growth,16,81
2013,WH7,CAS Math Growth,49,75
2013,All,CAS Reading 2-year Growth,26,74
2013,AS7,CAS Reading 2-year Growth,65,65
2013,BL7,CAS Reading 2-year Growth,26,74
2013,Economy,CAS Reading 2-year Growth,29,77
2013,HI7,CAS Reading 2-year Growth,41,65
2013,LEP,CAS Reading 2-year Growth,39,72
2013,MU7,CAS Reading 2-year Growth,55,55
2013,SPED,CAS Reading 2-year Growth,26,73
2013,WH7,CAS Reading 2-year Growth,44,72
2013,All,CAS Reading Growth,24,74
2013,AS7,CAS Reading Growth,64,64
2013,BL7,CAS Reading Growth,25,73
2013,Economy,CAS Reading Growth,24,76
2013,HI7,CAS Reading Growth,36,75
2013,LEP,CAS Reading Growth,33,76
2013,MU7,CAS Reading Growth,59,59
2013,SPED,CAS Reading Growth,21,81
2013,WH7,CAS Reading Growth,45,71
2014,All,CAS Math 2-year Growth,22.3,84.8
2014,AM7,CAS Math 2-year Growth,NULL,NULL
2014,AS7,CAS Math 2-year Growth,NULL,NULL
2014,BL7,CAS Math 2-year Growth,NULL,NULL
2014,Economy,CAS Math 2-year Growth,NULL,NULL
2014,HI7,CAS Math 2-year Growth,NULL,NULL
2014,LEP,CAS Math 2-year Growth,NULL,NULL
2014,MU7,CAS Math 2-year Growth,NULL,NULL
2014,PI7,CAS Math 2-year Growth,NULL,NULL
2014,SPED,CAS Math 2-year Growth,NULL,NULL
2014,WH7,CAS Math 2-year Growth,NULL,NULL
2014,All,CAS Math Growth,1,91
2014,AM7,CAS Math Growth,13,89
2014,AS7,CAS Math Growth,9,98
2014,BL7,CAS Math Growth,1,91.5
2014,Economy,CAS Math Growth,1,91
2014,FEMALE,CAS Math Growth,10,85.5
2014,HI7,CAS Math Growth,1,99
2014,LEP,CAS Math Growth,6,99
2014,MALE,CAS Math Growth,8.5,93
2014,MU7,CAS Math Growth,2,95
2014,PI7,CAS Math Growth,8,97
2014,SPED,CAS Math Growth,1,95
2014,WH7,CAS Math Growth,1,93
2014,All,CAS Reading 2-year Growth,14,70.1
2014,AM7,CAS Reading 2-year Growth,NULL,NULL
2014,AS7,CAS Reading 2-year Growth,NULL,NULL
2014,BL7,CAS Reading 2-year Growth,NULL,NULL
2014,Economy,CAS Reading 2-year Growth,NULL,NULL
2014,HI7,CAS Reading 2-year Growth,NULL,NULL
2014,LEP,CAS Reading 2-year Growth,NULL,NULL
2014,MU7,CAS Reading 2-year Growth,NULL,NULL
2014,PI7,CAS Reading 2-year Growth,NULL,NULL
2014,SPED,CAS Reading 2-year Growth,NULL,NULL
2014,WH7,CAS Reading 2-year Growth,NULL,NULL
2014,All,CAS Reading Growth,5,96
2014,AM7,CAS Reading Growth,4,93
2014,AS7,CAS Reading Growth,8,95
2014,BL7,CAS Reading Growth,5,96
2014,Economy,CAS Reading Growth,5,96
2014,FEMALE,CAS Reading Growth,15,83
2014,HI7,CAS Reading Growth,3,97
2014,LEP,CAS Reading Growth,1,99
2014,MALE,CAS Reading Growth,8,86
2014,MU7,CAS Reading Growth,4,98
2014,PI7,CAS Reading Growth,10,98
2014,SPED,CAS Reading Growth,1,96
2014,WH7,CAS Reading Growth,16,95
